ReacID,ReacName,SecretionSense,MassBalance,finalFlux,finalFluxLimit
410,EX_4abut(e),0,0,0,0
411,EX_ac(e),1,-0.00412947906922785,0,0
412,EX_acald(e),1,-0.00153547834911395,0,0
413,EX_acgam(e),1,-0.00145044099047526,0,0
414,EX_ala_L(e),1,-0.00177749222455964,0,0
415,EX_alaasp(e),0,0,0,0
416,EX_alagln(e),0,0,0,0
417,EX_alaglu(e),0,0,0,0
418,EX_alagly(e),0,0,0,0
419,EX_alahis(e),0,0,0,0
420,EX_alaleu(e),0,0,0,0
421,EX_alathr(e),0,0,0,0
422,EX_arab_L(e),1,0,0,0
423,EX_arbt(e),0,0,0,0
424,EX_asn_L(e),1,-0.000459728161625069,0,0
425,EX_aso3(e),0,0,0,0
426,EX_aso4(e),0,0,0,0
427,EX_asp_L(e),1,-0.00119776044793709,0,0
428,EX_bhb(e),0,0,0,0
429,EX_biomass(e),0,0.00195895756615421,0,0
430,EX_btn(e),1,0,0,0
431,EX_but(e),0,0.0392092273281947,0,0
432,EX_ca2(e),1,-1.52982832171247e-05,0,0
433,EX_cd2(e),0,0,0,0
434,EX_cellb(e),1,-0.00045218698486335,0,0
435,EX_cgly(e),1,-0.00269169877476648,0,0
436,EX_chol(e),1,0,0,0
437,EX_chols(e),0,0,0,0
438,EX_chtbs(e),0,0,0,0
439,EX_cl(e),1,-1.52982832171247e-05,0,0
440,EX_co2(e),0,0.0387529225128487,0,0
441,EX_cobalt2(e),1,-1.52982832171247e-05,0,0
442,EX_crn(e),0,0,0,0
443,EX_cro4(e),0,0,0,0
444,EX_cu2(e),1,-1.52982832171247e-05,0,0
445,EX_cys_L(e),1,0.00248679416409616,0,0
446,EX_etoh(e),1,-0.00423618172135511,0,0
447,EX_fe2(e),1,-1.52982832171247e-05,0,0
448,EX_fe3(e),1,-1.52982832171247e-05,0,0
449,EX_fecrm(e),0,0,0,0
450,EX_for(e),1,0.0111573317515767,0,0
451,EX_fru(e),1,-0.000975011462909483,0,0
452,EX_gal(e),1,-0.000682470564005217,0,0
453,EX_galt(e),0,0,0,0
454,EX_gcald(e),0,0,0,0
455,EX_glc(e),1,-0.000855329945836356,0,0
456,EX_gln_L(e),1,-0.000792404025751883,0,0
457,EX_glu_L(e),1,-0.000956486684752993,0,0
458,EX_gly(e),1,-0.0023237916140509,0,0
459,EX_glyasn(e),0,0,0,0
460,EX_glyasp(e),0,0,0,0
461,EX_glyb(e),0,0,0,0
462,EX_glyc(e),1,-0.00229037783052724,0,0
463,EX_glyc3p(e),1,-0.00184919245491673,0,0
464,EX_glycys(e),0,0,0,0
465,EX_glygln(e),0,0,0,0
466,EX_glyglu(e),0,0,0,0
467,EX_glyleu(e),0,0,0,0
468,EX_glymet(e),0,0,0,0
469,EX_glyphe(e),0,0,0,0
470,EX_glypro(e),0,0,0,0
