ReacID,ReacName,SecretionSense,vmax,ks,inhibited,MassBalance,finalFlux,finalFluxLimit
436,EX_2obut(e),1,1,0.01,0,-0.00581089349862935,0,0
445,EX_ac(e),1,1,0.01,0,0.0173716304128446,0,0
451,EX_acgam(e),1,1,0.01,0,-0.00145084556159835,0,0
452,EX_acnam(e),1,1,0.01,0,0,0,0
453,EX_adn(e),1,1,0.01,0,-0.000493893542958828,0,0
454,EX_adpcbl(e),1,1,0.01,0,0,0,0
455,EX_amylopect900(e),1,1.56731e-05,0.01,0,-1.1906899493059e-07,0,0
456,EX_amylose300(e),1,4.70194e-05,0.01,0,-3.4279273173633e-07,0,0
458,EX_arab_L(e),1,0.178783,0.01,0,-0.000939860074342994,0,0
459,EX_arabinan101(e),1,0.000166277,0.01,0,-1.04241587930996e-06,0,0
460,EX_arabinogal(e),1,2.19148e-05,0.01,0,-1.39626188031068e-07,0,0
462,EX_arg_L(e),1,0.15,0.01,0,-0.000544267819132119,0,0
464,EX_asn_L(e),1,0.225,0.01,0,-0.000442911995330568,0,0
466,EX_btn(e),1,1,0.01,0,0,0,0
467,EX_ca2(e),1,1,0.01,0,-6.8254666335155e-06,0,0
468,EX_cbl1(e),1,1,0.01,0,0,0,0
471,EX_cgly(e),1,1,0.01,0,-0.00018832138045139,0,0
473,EX_cit(e),1,1,0.01,0,-1.3650933267031e-05,0,0
474,EX_cl(e),1,1,0.01,0,-6.8254666335155e-06,0,0
476,EX_cobalt2(e),1,1,0.01,0,-6.8254666335155e-06,0,0
494,EX_cu2(e),1,1,0.01,0,-6.8254666335155e-06,0,0
495,EX_cytd(e),1,1,0.01,0,-0.000186519501505496,0,0
496,EX_dad_2(e),1,1,0.01,0,-1.1682693203795e-32,0,0
497,EX_dcyt(e),1,1,0.01,0,-2.47739862892512e-06,0,0
498,EX_ddca(e),1,1,0.01,0,-0.000275647493476403,0,0
499,EX_dextran40(e),1,0.0001763229,0.01,0,-1.28084540275347e-06,0,0
500,EX_dgsn(e),1,1,0.01,0,0,0,0
505,EX_fe2(e),1,1,0.01,0,-1.3650933267031e-05,0,0
506,EX_fe3(e),1,1,0.01,0,-6.8254666335155e-06,0,0
507,EX_for(e),1,1,0.01,0,0.00516521846231224,0,0
508,EX_fru(e),1,0.148986,0.01,0,-0.000916354691625945,0,0
509,EX_fuc_L(e),1,0.148986,0.01,0,-0.000985072676933917,0,0
510,EX_gal(e),1,0.148986,0.01,0,-0.000763708837589457,0,0
513,EX_gam(e),1,1,0.01,0,-0.0024923806720223,0,0
517,EX_glc(e),1,0.148986,0.01,0,-0.000562727294676434,0,0
519,EX_glu_L(e),1,0.18,0.01,0,-0.00113627766905403,0,0
526,EX_gsn(e),1,1,0.01,0,-0.000193201594604979,0,0
527,EX_h(e),1,1,0.01,0,0.0494457518477767,0,0
528,EX_h2(e),1,1,0.01,0,0.000915509156205004,0,0
529,EX_h2o(e),1,10,0.01,0,0.0101096646972226,0,0
530,EX_h2s(e),1,1,0.01,0,-0.000288528885255599,0,0
534,EX_hdca(e),1,0.396371,0.01,0,0,0,0
536,EX_homogal(e),1,0.0001282349,0.01,0,-9.21775896864307e-07,0,0
556,EX_indole(e),1,1,0.01,0,0.000400236921085165,0,0
557,EX_ins(e),1,1,0.01,0,-1.31570226746515e-33,0,0
558,EX_inulin(e),1,0.0004701945,0.01,0,-4.6197478884164e-06,0,0
562,EX_k(e),1,1,0.01,0,-6.8254666335155e-06,0,0
565,EX_kestopt(e),1,0.0028211667,0.01,0,-2.20842468163177e-05,0,0
568,EX_lac_L(e),1,1,0.01,0,0,0,0
569,EX_lcts(e),1,0.074493,0.01,0,-0.000479535026557894,0,0
570,EX_leu_L(e),1,0.15,0.01,0,-0.000875539795004822,0,0
571,EX_levan1000(e),1,1.41058e-05,0.01,0,-1.10045072943532e-07,0,0
575,EX_lys_L(e),1,0.15,0.01,0,-0.000629181719964691,0,0
576,EX_malt(e),1,0.074493,0.01,0,-0.000481564130217439,0,0
578,EX_man(e),1,0.148986,0.01,0,-0.000836479158547119,0,0
581,EX_melib(e),1,0.074493,0.01,0,-0.000474582960417442,0,0
582,EX_meoh(e),1,10,0.01,0,6.52338996427715e-05,0,0
583,EX_mg2(e),1,1,0.01,0,-6.8254666335155e-06,0,0
584,EX_mn2(e),1,1,0.01,0,-6.8254666335155e-06,0,0
585,EX_na1(e),1,1,0.01,0,-1.3806466103559e-32,0,0
586,EX_nac(e),1,1,0.01,0,-1.36509332670295e-05,0,0
588,EX_no2(e),1,1,0.01,0,-0.00429042065505912,0,0
590,EX_ocdca(e),1,0.169283,0.01,0,-0.000187767011047758,0,0
593,EX_pect(e),1,3.33866e-05,0.01,0,-2.39991701053771e-07,0,0
595,EX_phe_L(e),1,1,0.01,0,-0.0069676663934622,0,0
596,EX_pheme(e),1,1,0.01,0,-6.8254666335155e-06,0,0
597,EX_pi(e),1,1,0.01,0,-0.00179002584352982,0,0
600,EX_pro_L(e),1,0.18,0.01,0,-0.00113906981248876,0,0
601,EX_ptrc(e),1,1,0.01,0,0,0,0
602,EX_pullulan1200(e),1,1.17549e-05,0.01,0,-8.93023815454512e-08,0,0
603,EX_pydam(e),1,1,0.01,0,0,0,0
604,EX_pydx(e),1,1,0.01,0,-4.56603191414559e-07,0,0
605,EX_pydxn(e),1,1,0.01,0,-6.36886344210094e-06,0,0
606,EX_q8(e),1,1,0.01,0,-6.82546663351558e-06,0,0
607,EX_raffin(e),1,0.0047019445,0.01,0,-3.54528167279501e-05,0,0
608,EX_rhamnogalurI(e),1,1.44923e-05,0.01,0,-1.09746245983947e-07,0,0
609,EX_rhamnogalurII(e),1,0.0002669874,0.01,0,-1.91910704121471e-06,0,0
610,EX_rib_D(e),1,0.178783,0.01,0,-0.000953323206072402,0,0
611,EX_rmn(e),1,0.148986,0.01,0,-0.000898159272120675,0,0
614,EX_ser_L(e),1,1,0.01,0,0.00595932197336424,0,0
615,EX_so4(e),1,1,0.01,0,-6.8254666335155e-06,0,0
616,EX_spmd(e),1,1,0.01,0,-6.8254666335155e-06,0,0
617,EX_strch1(e),1,0.257339,0.01,0,-0.00150216466174949,0,0
620,EX_succ(e),1,1,0.01,0,-0.0044400847515487,0,0
621,EX_sucr(e),1,0.074493,0.01,0,-0.000535040108092721,0,0
622,EX_thr_L(e),1,0.225,0.01,0,-0.00109914812346562,0,0
623,EX_thymd(e),1,1,0.01,0,-3.53143229244475e-05,0,0
624,EX_tre(e),1,0.074493,0.01,0,-0.000511570975154517,0,0
625,EX_trp_L(e),1,0.08182,0.01,0,-0.000504282028798776,0,0
626,EX_ttdca(e),1,0.068676,0.01,0,-5.51305493204768e-05,0,0
627,EX_ura(e),1,1,0.01,0,0,0,0
