ReacID,ReacName,SecretionSense,MassBalance,finalFlux,finalFluxLimit
435,EX_12ppd_S(e),0,0.00192541468454284,0,0
436,EX_2obut(e),1,-0.00581089349862935,0,0
437,EX_2omfuc(e),0,3.83821408242942e-06,0,0
438,EX_2omxyl(e),0,3.83821408242942e-06,0,0
439,EX_3ddlhept(e),0,3.83821408242942e-06,0,0
440,EX_4abut(e),0,0.00113627766905403,0,0
441,EX_Ser_Thr(e),0,0,0,0
442,EX_T_antigen(e),0,0,0,0
443,EX_Tn_antigen(e),0,0,0,0
444,EX_Tyr_ggn(e),0,0,0,0
445,EX_ac(e),1,0.0173716304128446,0,0
446,EX_acerA(e),0,1.91910704121471e-06,0,0
447,EX_acgal(e),0,0,0,0
448,EX_acgalglcur(e),0,0,0,0
449,EX_acgalidour(e),0,0,0,0
450,EX_acgalidour2s(e),0,0,0,0
451,EX_acgam(e),1,-0.00145084556159835,0,0
452,EX_acnam(e),1,0,0,0
453,EX_adn(e),1,-0.000493893542958828,0,0
454,EX_adpcbl(e),1,0,0,0
455,EX_amylopect900(e),1,-1.1906899493059e-07,0,0
456,EX_amylose300(e),1,-3.4279273173633e-07,0,0
457,EX_apio-D(e),0,5.75732112364413e-06,0,0
458,EX_arab_L(e),1,-0.000939860074342994,0,0
459,EX_arabinan101(e),1,-1.04241587930996e-06,0,0
460,EX_arabinogal(e),1,-1.39626188031068e-07,0,0
461,EX_arabttr(e),0,0,0,0
462,EX_arg_L(e),1,-0.000544267819132119,0,0
463,EX_arsenb(e),0,0,0,0
464,EX_asn_L(e),1,-0.000442911995330568,0,0
465,EX_biomass(e),0,0.00220425210189424,0,0
466,EX_btn(e),1,0,0,0
467,EX_ca2(e),1,-6.8254666335155e-06,0,0
468,EX_cbl1(e),1,0,0,0
469,EX_cbl2(e),0,0,0,0
470,EX_cd2(e),0,0,0,0
471,EX_cgly(e),1,-0.00018832138045139,0,0
472,EX_chtbs(e),0,0,0,0
473,EX_cit(e),1,-1.3650933267031e-05,0,0
474,EX_cl(e),1,-6.8254666335155e-06,0,0
475,EX_co2(e),0,0.0313030310397143,0,0
476,EX_cobalt2(e),1,-6.8254666335155e-06,0,0
477,EX_core2(e),0,0,0,0
478,EX_core3(e),0,0,0,0
479,EX_core4(e),0,0,0,0
480,EX_core5(e),0,0,0,0
481,EX_core6(e),0,0,0,0
482,EX_core7(e),0,0,0,0
483,EX_core8(e),0,0,0,0
484,EX_cro4(e),0,0,0,0
485,EX_cspg_a(e),0,0,0,0
486,EX_cspg_a_degr(e),0,0,0,0
487,EX_cspg_ab_rest(e),0,0,0,0
488,EX_cspg_b(e),0,0,0,0
489,EX_cspg_b_degr(e),0,0,0,0
490,EX_cspg_c(e),0,0,0,0
491,EX_cspg_c_degr(e),0,0,0,0
492,EX_cspg_c_rest(e),0,0,0,0
493,EX_ctbt(e),0,0,0,0
494,EX_cu2(e),1,-6.8254666335155e-06,0,0
495,EX_cytd(e),1,-0.000186519501505496,0,0
496,EX_dad_2(e),1,-1.1682693203795e-32,0,0
497,EX_dcyt(e),1,-2.47739862892512e-06,0,0
498,EX_ddca(e),1,-0.000275647493476403,0,0
499,EX_dextran40(e),1,-1.28084540275347e-06,0,0
500,EX_dgsn(e),1,0,0,0
501,EX_din(e),0,0,0,0
502,EX_dsT_antigen(e),0,0,0,0
503,EX_duri(e),0,0,0,0
504,EX_f1a(e),0,0,0,0
505,EX_fe2(e),1,-1.3650933267031e-05,0,0
506,EX_fe3(e),1,-6.8254666335155e-06,0,0
507,EX_for(e),1,0.00516521846231224,0,0
508,EX_fru(e),1,-0.000916354691625945,0,0
509,EX_fuc_L(e),1,-0.000985072676933917,0,0
510,EX_gal(e),1,-0.000763708837589457,0,0
511,EX_galt(e),0,0,0,0
512,EX_galur(e),0,3.45392426180475e-06,0,0
513,EX_gam(e),1,-0.0024923806720223,0,0
514,EX_gam26s(e),0,0,0,0
515,EX_gbbtn(e),0,0,0,0
516,EX_gcald(e),0,1.43647678443292e-06,0,0
517,EX_glc(e),1,-0.000562727294676434,0,0
518,EX_glcur(e),0,6.4396774255485e-37,0,0
519,EX_glu_L(e),1,-0.00113627766905403,0,0
520,EX_glyb(e),0,0,0,0
521,EX_glygn2(e),0,0,0,0
522,EX_glygn4(e),0,0,0,0
523,EX_glygn5(e),0,0,0,0
524,EX_gncore1(e),0,0,0,0
525,EX_gncore2(e),0,0,0,0
526,EX_gsn(e),1,-0.000193201594604979,0,0
527,EX_h(e),1,0.0494457518477767,0,0
528,EX_h2(e),1,0.000915509156205004,0,0
529,EX_h2o(e),1,0.0101096646972226,0,0
530,EX_h2s(e),1,-0.000288528885255599,0,0
531,EX_ha(e),0,0,0,0
532,EX_ha_deg1(e),0,0,0,0
533,EX_ha_pre1(e),0,0,0,0
534,EX_hdca(e),1,0,0,0
535,EX_hg2(e),0,0,0,0
536,EX_homogal(e),1,-9.21775896864307e-07,0,0
537,EX_hspg(e),0,0,0,0
538,EX_hspg_degr_1(e),0,0,0,0
539,EX_hspg_degr_10(e),0,0,0,0
540,EX_hspg_degr_11(e),0,0,0,0
541,EX_hspg_degr_12(e),0,0,0,0
542,EX_hspg_degr_13(e),0,0,0,0
543,EX_hspg_degr_14(e),0,0,0,0
544,EX_hspg_degr_15(e),0,0,0,0
545,EX_hspg_degr_2(e),0,0,0,0
546,EX_hspg_degr_3(e),0,0,0,0
547,EX_hspg_degr_4(e),0,0,0,0
548,EX_hspg_degr_5(e),0,0,0,0
549,EX_hspg_degr_6(e),0,0,0,0
550,EX_hspg_degr_7(e),0,0,0,0
551,EX_hspg_degr_8(e),0,0,0,0
552,EX_hspg_degr_9(e),0,0,0,0
553,EX_hspg_rest(e),0,0,0,0
554,EX_idour(e),0,0,0,0
555,EX_ind3ac(e),0,0,0,0
556,EX_indole(e),1,0.000400236921085165,0,0
557,EX_ins(e),1,-1.31570226746515e-33,0,0
558,EX_inulin(e),1,-4.6197478884164e-06,0,0
559,EX_isobut(e),0,0,0,0
560,EX_isocapr(e),0,0,0,0
561,EX_isoval(e),0,0,0,0
562,EX_k(e),1,-6.8254666335155e-06,0,0
563,EX_kdo(e),0,3.83821408242942e-06,0,0
564,EX_kesto(e),0,0,0,0
565,EX_kestopt(e),1,-2.20842468163177e-05,0,0
566,EX_kestottr(e),0,0,0,0
567,EX_lac_D(e),0,0,0,0
568,EX_lac_L(e),1,0,0,0
569,EX_lcts(e),1,-0.000479535026557894,0,0
570,EX_leu_L(e),1,-0.000875539795004822,0,0
571,EX_levan1000(e),1,-1.10045072943532e-07,0,0
572,EX_levanb(e),0,0,0,0
573,EX_levanttr(e),0,0,0,0
574,EX_levantttr(e),0,0,0,0
575,EX_lys_L(e),1,-0.000629181719964691,0,0
576,EX_malt(e),1,-0.000481564130217439,0,0
577,EX_malttr(e),0,0,0,0
578,EX_man(e),1,-0.000836479158547119,0,0
579,EX_mannan(e),0,0,0,0
580,EX_mantr(e),0,0,0,0
581,EX_melib(e),1,-0.000474582960417442,0,0
582,EX_meoh(e),1,6.52338996427715e-05,0,0
583,EX_mg2(e),1,-6.8254666335155e-06,0,0
584,EX_mn2(e),1,-6.8254666335155e-06,0,0
585,EX_na1(e),1,-1.3806466103559e-32,0,0
586,EX_nac(e),1,-1.36509332670295e-05,0,0
587,EX_nh4(e),0,0.00429042065505912,0,0
588,EX_no2(e),1,-0.00429042065505912,0,0
589,EX_o2(e),0,0,0,0
590,EX_ocdca(e),1,-0.000187767011047758,0,0
591,EX_pac(e),0,0.0066270653586775,0,0
592,EX_pb(e),0,0,0,0
593,EX_pect(e),1,-2.39991701053771e-07,0,0
594,EX_pecticgal(e),0,0,0,0
595,EX_phe_L(e),1,-0.0069676663934622,0,0
596,EX_pheme(e),1,-6.8254666335155e-06,0,0
597,EX_pi(e),1,-0.00179002584352982,0,0
598,EX_ppa(e),0,0.0434886365110875,0,0
599,EX_ppi(e),0,0,0,0
600,EX_pro_L(e),1,-0.00113906981248876,0,0
601,EX_ptrc(e),1,0,0,0
602,EX_pullulan1200(e),1,-8.93023815454512e-08,0,0
603,EX_pydam(e),1,0,0,0
604,EX_pydx(e),1,-4.56603191414559e-07,0,0
605,EX_pydxn(e),1,-6.36886344210094e-06,0,0
606,EX_q8(e),1,-6.82546663351558e-06,0,0
607,EX_raffin(e),1,-3.54528167279501e-05,0,0
608,EX_rhamnogalurI(e),1,-1.09746245983947e-07,0,0
609,EX_rhamnogalurII(e),1,-1.91910704121471e-06,0,0
610,EX_rib_D(e),1,-0.000953323206072402,0,0
611,EX_rmn(e),1,-0.000898159272120675,0,0
612,EX_sT_antigen(e),0,0,0,0
613,EX_sTn_antigen(e),0,0,0,0
614,EX_ser_L(e),1,0.00595932197336424,0,0
615,EX_so4(e),1,-6.8254666335155e-06,0,0
616,EX_spmd(e),1,-6.8254666335155e-06,0,0
617,EX_strch1(e),1,-0.00150216466174949,0,0
618,EX_strch2(e),0,0,0,0
619,EX_stys(e),0,0,0,0
620,EX_succ(e),1,-0.0044400847515487,0,0
621,EX_sucr(e),1,-0.000535040108092721,0,0
622,EX_thr_L(e),1,-0.00109914812346562,0,0
623,EX_thymd(e),1,-3.53143229244475e-05,0,0
624,EX_tre(e),1,-0.000511570975154517,0,0
625,EX_trp_L(e),1,-0.000504282028798776,0,0
626,EX_ttdca(e),1,-5.51305493204768e-05,0,0
627,EX_ura(e),1,0,0,0
628,EX_uri(e),1,-0.000231920468486997,0,0
629,EX_val_L(e),1,-0.000895122165684528,0,0
630,EX_xan(e),1,0,0,0
631,EX_xyl_D(e),1,-0.00112818475626131,0,0
632,EX_zn2(e),1,-6.8254666335155e-06,0,0
