ReacID,ReacName,SecretionSense,MassBalance,finalFlux,finalFluxLimit
252,EX_ac(e),1,0.0165730554879596,0,0
253,EX_acald(e),1,-0.00153114338445511,0,0
254,EX_ala_L(e),1,-0.00229441067360895,0,0
255,EX_alaasp(e),0,0,0,0
256,EX_alagln(e),0,0,0,0
257,EX_alaglu(e),0,0,0,0
258,EX_alagly(e),0,0,0,0
259,EX_alahis(e),0,0,0,0
260,EX_alaleu(e),0,0,0,0
261,EX_alathr(e),0,0,0,0
262,EX_arab_L(e),1,-0.0010445790991226,0,0
263,EX_arabinogal(e),1,-1.60305096619673e-07,0,0
264,EX_arabttr(e),0,0,0,0
265,EX_asn_L(e),1,-8.9470362782942e-05,0,0
266,EX_asp_L(e),1,-0.00128543682589956,0,0
267,EX_biomass(e),0,0.000381244088899532,0,0
268,EX_btn(e),1,0,0,0
269,EX_ca2(e),1,-2.977287587852e-06,0,0
270,EX_cd2(e),0,2.33495197956605e-34,0,0
271,EX_cgly(e),1,-6.05261472120881e-06,0,0
272,EX_cl(e),1,-2.977287587852e-06,0,0
273,EX_co2(e),0,0.00227081090507875,0,0
274,EX_cobalt2(e),1,-2.977287587852e-06,0,0
275,EX_cu2(e),1,-2.977287587852e-06,0,0
276,EX_cys_L(e),1,-3.38250594847756e-05,0,0
277,EX_dpcoa(e),0,0,0,0
278,EX_drib(e),1,0,0,0
279,EX_etoh(e),1,0.00870088046654678,0,0
280,EX_fe2(e),1,-5.94108002696346e-06,0,0
281,EX_fe3(e),1,-1.34951487405425e-08,0,0
282,EX_for(e),1,0.0236549832490589,0,0
283,EX_fru(e),1,-0.000815013444902824,0,0
284,EX_gal(e),1,-0.000855395301735134,0,0
285,EX_glc(e),1,-0.000845079437693291,0,0
286,EX_glcur(e),0,2.4045764492951e-06,0,0
287,EX_gln_L(e),1,0,0,0
288,EX_glu_L(e),1,-0.000707367404396392,0,0
289,EX_gly(e),1,-0.000183861317115721,0,0
290,EX_glyasn(e),0,0,0,0
291,EX_glyasp(e),0,0,0,0
292,EX_glyc(e),1,0,0,0
293,EX_glycys(e),0,0,0,0
294,EX_glygln(e),0,0,0,0
295,EX_glyglu(e),0,0,0,0
296,EX_glyleu(e),0,0,0,0
297,EX_glymet(e),0,0,0,0
298,EX_glyphe(e),0,0,0,0
299,EX_glypro(e),0,0,0,0
300,EX_glytyr(e),0,0,0,0
301,EX_h(e),1,0.0315268398757409,0,0
302,EX_h2o(e),1,-0.00960159863223695,0,0
303,EX_hg2(e),0,0,0,0
304,EX_his_L(e),1,-3.53119712461413e-05,0,0
305,EX_hxan(e),1,-0.000168029507162063,0,0
306,EX_ile_L(e),1,0.00090422671618535,0,0
307,EX_k(e),1,-2.97728758785175e-06,0,0
308,EX_kesto(e),0,0,0,0
309,EX_kestopt(e),1,-2.16990916662809e-05,0,0
310,EX_kestottr(e),0,0,0,0
311,EX_lac_L(e),1,-0.00141901732875988,0,0
312,EX_lcts(e),1,-0.000512800789662906,0,0
313,EX_leu_L(e),1,-0.000167236532036669,0,0
314,EX_lys_L(e),1,-0.000127163965852439,0,0
315,EX_malt(e),1,-0.000515222849146356,0,0
316,EX_malthx(e),0,0,0,0
317,EX_malttr(e),0,0,0,0
318,EX_mantr(e),0,0,0,0
319,EX_melib(e),1,-0.000500397575171649,0,0
320,EX_met_D(e),0,0,0,0
321,EX_met_L(e),1,-1.89800334164166e-06,0,0
322,EX_metala(e),0,0,0,0
323,EX_metsox_R_L(e),0,0,0,0
324,EX_metsox_S_L(e),1,-5.80142764824664e-05,0,0
325,EX_mg2(e),1,-2.977287587852e-06,0,0
326,EX_mn2(e),1,-2.977287587852e-06,0,0
327,EX_na1(e),1,-8.2393119197382e-35,0,0
328,EX_nac(e),1,-5.95457517570394e-06,0,0
329,EX_nh4(e),0,0.00445681147550982,0,0
330,EX_no3(e),1,0,0,0
331,EX_o2(e),0,0,0,0
332,EX_pb(e),0,0,0,0
333,EX_phe_L(e),1,0.00265541626398657,0,0
334,EX_pi(e),1,-0.00194410944111779,0,0
335,EX_pnto_R(e),1,-5.95457517570411e-06,0,0
336,EX_ppi(e),0,0.000748897534308898,0,0
337,EX_pro_L(e),1,0.000284874230054296,0,0
338,EX_pydam(e),1,0,0,0
339,EX_pydx(e),1,-2.977287587852e-06,0,0
340,EX_pydxn(e),1,0,0,0
341,EX_raffin(e),1,-3.84179880475595e-05,0,0
342,EX_rib_D(e),1,-0.00105684997501723,0,0
343,EX_ribflv(e),1,-5.954575175704e-06,0,0
344,EX_rmn(e),1,0,0,0
345,EX_ser_L(e),1,-0.00237061978283238,0,0
346,EX_so4(e),1,-2.977287587852e-06,0,0
347,EX_stys(e),0,0,0,0
348,EX_succ(e),1,0.000111950039240814,0,0
349,EX_sucr(e),1,-0.000579287266167485,0,0
350,EX_taur(e),0,0,0,0
351,EX_thm(e),1,0,0,0
352,EX_thr_L(e),1,-0.00113873391004809,0,0
353,EX_trp_L(e),1,-2.10282802114315e-05,0,0
354,EX_tyr_L(e),1,-0.00277543571561303,0,0
355,EX_urea(e),0,0,0,0
356,EX_val_L(e),1,-0.000154162655378595,0,0
357,EX_xan(e),1,-3.81637912503214e-07,0,0
358,EX_xyl_D(e),1,-0.00118038332003948,0,0
359,EX_zn2(e),1,-2.977287587852e-06,0,0
