ReacID,ReacName,SecretionSense,vmax,ks,inhibited,MassBalance,finalFlux,finalFluxLimit
339,EX_ac(e),1,1,0.01,0,0.0205220068759431,0,0
340,EX_acald(e),1,1,0.01,0,-0.00153286960495502,0,0
341,EX_acgam(e),1,1,0.01,0,-0.00144720750437532,0,0
342,EX_ala_L(e),1,1,0.01,0,0.000193070452960715,0,0
350,EX_arab_L(e),1,0.178783,0.01,0,0,0,0
352,EX_asn_L(e),1,0.225,0.01,0,-0.00119803349033126,0,0
353,EX_asp_L(e),1,0.225,0.01,0,-0.00109516281595756,0,0
355,EX_btn(e),1,1,0.01,0,0,0,0
356,EX_ca2(e),1,1,0.01,0,-6.24501860671536e-06,0,0
358,EX_cellb(e),1,0.074493,0.01,0,-0.000516210164586023,0,0
359,EX_cgly(e),1,1,0.01,0,0,0,0
360,EX_cl(e),1,1,0.01,0,-6.24501860671536e-06,0,0
362,EX_cobalt2(e),1,1,0.01,0,-6.24501860671536e-06,0,0
364,EX_cu2(e),1,1,0.01,0,-6.24501860671536e-06,0,0
365,EX_cys_L(e),1,1,0.01,0,-0.00020931472062825,0,0
368,EX_etoh(e),1,1,0.01,0,0.00836021476934684,0,0
369,EX_fe2(e),1,1,0.01,0,-1.2258268192926e-05,0,0
370,EX_fe3(e),1,1,0.01,0,-2.31769020504762e-07,0,0
372,EX_for(e),1,1,0.01,0,0.0254076142204996,0,0
373,EX_fru(e),1,0.148986,0.01,0,-0.000860383282781675,0,0
374,EX_gal(e),1,0.148986,0.01,0,-0.000814516214881383,0,0
375,EX_glc(e),1,0.148986,0.01,0,-0.000958261226302126,0,0
376,EX_gln_L(e),1,0.18,0.01,0,-0.00119881975957273,0,0
377,EX_glu_L(e),1,0.18,0.01,0,-0.00129479504070744,0,0
378,EX_gly(e),1,0.45,0.01,0,-0.00145327849119793,0,0
382,EX_glyc3p(e),1,1,0.01,0,-0.00184438253187929,0,0
391,EX_h(e),1,1,0.01,0,0.0223814467403309,0,0
392,EX_h2o(e),1,10,0.01,0,-0.0111378594238092,0,0
394,EX_his_L(e),1,0.15,0.01,0,-7.40687323494502e-05,0,0
395,EX_hxan(e),1,1,0.01,0,-0.000190860966420384,0,0
396,EX_ile_L(e),1,0.15,0.01,0,0.00167810485210536,0,0
397,EX_k(e),1,1,0.01,0,-6.24501860671536e-06,0,0
399,EX_kestopt(e),1,0.0028211667,0.01,0,-2.11933914408514e-05,0,0
402,EX_lac_L(e),1,1,0.01,0,-0.00180756385116441,0,0
403,EX_lcts(e),1,0.074493,0.01,0,-0.000480207824496789,0,0
404,EX_leu_L(e),1,0.15,0.01,0,-0.000350787494816729,0,0
405,EX_lys_L(e),1,0.15,0.01,0,-0.000266733162121278,0,0
406,EX_malt(e),1,0.074493,0.01,0,-0.000477676680529183,0,0
407,EX_man(e),1,0.148986,0.01,0,-0.000934813214171287,0,0
409,EX_melib(e),1,0.074493,0.01,0,-0.000464652617903807,0,0
411,EX_met_L(e),1,0.18,0.01,0,0,0,0
414,EX_metsox_S_L(e),1,1,0.01,0,0,0,0
415,EX_mg2(e),1,1,0.01,0,-6.24501860671536e-06,0,0
416,EX_mn2(e),1,1,0.01,0,-6.24501860671536e-06,0,0
417,EX_na1(e),1,1,0.01,0,-3.01646801979162e-20,0,0
418,EX_nac(e),1,1,0.01,0,-1.24900372134309e-05,0,0
422,EX_phe_L(e),1,1,0.01,0,0.002528934937308,0,0
423,EX_pi(e),1,1,0.01,0,0.000908214466664649,0,0
424,EX_pnto_R(e),1,1,0.01,0,-1.2490037213431e-05,0,0
426,EX_pro_L(e),1,0.18,0.01,0,-0.000165699738330271,0,0
427,EX_ptrc(e),1,1,0.01,0,0,0,0
428,EX_pydx(e),1,1,0.01,0,-6.24501860671536e-06,0,0
430,EX_raffin(e),1,0.0047019445,0.01,0,-3.24077094503468e-05,0,0
431,EX_ribflv(e),1,1,0.01,0,-1.24900372134307e-05,0,0
433,EX_ser_L(e),1,1,0.01,0,-0.00237678263879817,0,0
434,EX_so4(e),1,1,0.01,0,-6.24501860671536e-06,0,0
435,EX_spmd(e),1,1,0.01,0,0,0,0
437,EX_succ(e),1,1,0.01,0,4.20228984010359e-05,0,0
438,EX_sucr(e),1,0.074493,0.01,0,-0.000517516181591582,0,0
439,EX_thr_L(e),1,0.225,0.01,0,-0.00111507217991792,0,0
440,EX_tre(e),1,0.074493,0.01,0,-0.000501602833711392,0,0
441,EX_tyr_L(e),1,1,0.01,0,-0.00278068210195318,0,0
442,EX_ura(e),1,1,0.01,0,-0.000234821144230072,0,0
444,EX_val_L(e),1,0.18,0.01,0,-0.000318163085741829,0,0
445,EX_xan(e),1,1,0.01,0,-0.00016239034153529,0,0
446,EX_zn2(e),1,1,0.01,0,-6.24501860671536e-06,0,0
