ReacID,ReacName,SecretionSense,vmax,ks,inhibited,MassBalance,finalFlux,finalFluxLimit
573,EX_4hbz(e),1,1,0.01,0,-2.27502965169479e-36,0,0
576,EX_ac(e),1,1,0.01,0,0.147887027984033,0.000385625577311352,0
578,EX_acald(e),1,1,0.01,0,-0.00154920328915687,-1.27706477574316e-05,-1
580,EX_acgam(e),1,1,0.01,0,-0.00145547404328805,-3.66960445060495e-34,0
581,EX_acnam(e),1,1,0.01,0,-0.00952569616498679,-1.08853683948913e-05,0
582,EX_adn(e),1,1,0.01,0,-0.00526948660870739,0,0
583,EX_adpcbl(e),1,1,0.01,0,0,0,0
584,EX_akg(e),1,1,0.01,0,-0.0051696364592022,-0.000111548258755954,0
585,EX_ala_D(e),1,1,0.01,0,-0.00718621827423246,0,0
586,EX_ala_L(e),1,1,0.01,0,-0.00250550715206927,0.00149558717335187,0
595,EX_arab_L(e),1,0.178783,0.01,0,-0.00229641704220523,0,0
597,EX_arg_L(e),1,0.15,0.01,0,-0.00174626202773198,-1.69661595830017e-05,0
598,EX_asn_L(e),1,0.225,0.01,0,-0.00312368446467652,-1.38121147914762e-05,0
601,EX_asp_L(e),1,0.225,0.01,0,-0.002906947900559,-0.00183488791474056,0
603,EX_btn(e),1,1,0.01,0,0,0,0
606,EX_ca2(e),1,1,0.01,0,-4.69004108838125e-05,-4.59623015393531e-07,0
607,EX_cbl1(e),1,1,0.01,0,0,0,0
610,EX_cgly(e),1,1,0.01,0,-0.00267182853331987,0,0
611,EX_chol(e),1,1,0.01,0,0,0,0
613,EX_cit(e),1,1,0.01,0,-0.00567315296234898,-1.60613886038895e-05,-1
614,EX_cl(e),1,1,0.01,0,-4.69004108838125e-05,-4.59623015393531e-07,0
616,EX_cobalt2(e),1,1,0.01,0,-4.69004108838125e-05,-4.59623015393531e-07,0
618,EX_csn(e),1,1,0.01,0,0,0,0
620,EX_cu2(e),1,1,0.01,0,-4.69004108838125e-05,-4.59623015393531e-07,0
622,EX_cys_L(e),1,1,0.01,0,-0.00879848450988668,-6.15617279977268e-06,0
623,EX_cytd(e),1,1,0.01,0,-0.00171345265612374,-8.33547120151864e-06,0
624,EX_dad_2(e),1,1,0.01,0,0.00519395469895557,-1.30007383873715e-05,0
625,EX_dcyt(e),1,1,0.01,0,-1.21814081487271e-05,-8.25560483126112e-06,0
626,EX_ddca(e),1,1,0.01,0,-2.50970672474027e-25,0,0
627,EX_dgsn(e),1,1,0.01,0,-8.29783572888264e-05,-1.39172182284739e-05,0
633,EX_drib(e),1,0.178783,0.01,0,-0.0026404784642478,0,0
