ReacID,ReacName,SecretionSense,vmax,ks,inhibited,MassBalance,finalFlux,finalFluxLimit
396,EX_12dgr180(e),1,1,0.01,0,-3.43112021704353e-05,0,0
400,EX_ac(e),1,1,0.01,0,0.0184213382195875,0,0
401,EX_acald(e),1,1,0.01,0,-0.00153304303082238,0,0
402,EX_acgam(e),1,1,0.01,0,-0.00144737640293803,0,0
403,EX_akg(e),1,1,0.01,0,-0.00429344120765789,0,0
404,EX_ala_D(e),1,1,0.01,0,-0.00018699047512406,0,0
405,EX_ala_L(e),1,1,0.01,0,-0.000212709345949441,0,0
414,EX_arab_L(e),1,0.178783,0.01,0,-0.00101863386655729,0,0
416,EX_asn_L(e),1,0.225,0.01,0,-0.00120480727067329,0,0
417,EX_asp_L(e),1,0.225,0.01,0,-0.00113485964579093,0,0
419,EX_btn(e),1,1,0.01,0,0,0,0
420,EX_ca2(e),1,1,0.01,0,-6.55285792327206e-06,0,0
422,EX_cellb(e),1,0.074493,0.01,0,-0.000513991418630612,0,0
423,EX_cgly(e),1,1,0.01,0,-8.76003762529402e-06,0,0
424,EX_chol(e),1,1,0.01,0,0,0,0
426,EX_cit(e),1,1,0.01,0,-0.00430302287671116,0,0
427,EX_cl(e),1,1,0.01,0,-6.55285792327206e-06,0,0
429,EX_cobalt2(e),1,1,0.01,0,-6.55285792327206e-06,0,0
431,EX_csn(e),1,1,0.01,0,0,0,0
432,EX_cu2(e),1,1,0.01,0,-6.55285792327206e-06,0,0
433,EX_cys_L(e),1,1,0.01,0,-5.79042756764991e-05,0,0
434,EX_ddca(e),1,1,0.01,0,0,0,0
436,EX_drib(e),1,0.178783,0.01,0,0,0,0
437,EX_etoh(e),1,1,0.01,0,7.30569417679926e-31,0,0
438,EX_fe2(e),1,1,0.01,0,-1.31057158465441e-05,0,0
439,EX_fe3(e),1,1,0.01,0,-6.55285792327206e-06,0,0
440,EX_fol(e),1,1,0.01,0,-1.96585737698162e-05,0,0
441,EX_for(e),1,1,0.01,0,4.37568946894367e-33,0,0
442,EX_fru(e),1,0.148986,0.01,0,-0.000882376105381436,0,0
443,EX_gal(e),1,0.148986,0.01,0,-0.000788010827822303,0,0
445,EX_gam(e),1,1,0.01,0,-0.00248661682136922,0,0
446,EX_glc(e),1,0.148986,0.01,0,-0.000854840111847925,0,0
447,EX_glcn(e),1,0.148986,0.01,0,-0.00100054665508887,0,0
448,EX_gln_L(e),1,0.18,0.01,0,-0.000375037365254866,0,0
449,EX_glu_L(e),1,0.18,0.01,0,0.00388279292054926,0,0
450,EX_gly(e),1,0.45,0.01,0,-0.000298323026427219,0,0
454,EX_glyc(e),1,1.799655,0.01,0,-0.00263638591685426,0,0
455,EX_glyc3p(e),1,1,0.01,0,-0.00074810113372402,0,0
464,EX_gua(e),1,1,0.01,0,-0.000124869907062814,0,0
