name,longName,compartment,formula
12dgr180[e],"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",e,C39H76O5
26dap_M[e],"meso-2,6-Diaminoheptanedioate",e,C7H14N2O4
2obut[e],2-Oxobutanoate,e,C4H5O3
4hbz[e],4-hydroxybenzoate,e,C7H5O3
ac[e],acetate,e,C2H3O2
acald[e],acetaldehyde,e,C2H4O
acgam[e],N-acetyl-D-glucosamine,e,C8H15NO6
acnam[e],N-acetylneuraminate,e,C11H18NO9
ade[e],Adenine,e,C5H5N5
adn[e],Adenosine,e,C10H13N5O4
adocbl[e],Adenosylcobalamin,e,C72H100CoN18O17P
akg[e],2-Oxoglutarate,e,C5H4O5
ala_D[e],D-alanine,e,C3H7NO2
ala_L[e],L-alanine,e,C3H7NO2
amylopect900[e],"Amylopectin, 900 repeat units",e,C5400H9002O4501
amylose300[e],"amylose (n=300 repeat units, alpha-1,4-glc)",e,C1800H3002O1501
arab_L[e],L-arabinose,e,C5H10O5
arabinan101[e],"Arabinan, polymer of 1,5-a-L-linked arabinofuranose units substituted by 1,3 or 1,2 linked branches, MW ~ 15000 Da (REF: www.meg... <Preview truncated at 128 characters>",e,C509H812O410
arabinogal[e],"Larch arabinogalactan, gal/ara 6:1, small amount of glcur, MW ~ 116000",e,C3862H6376O3218
arg_L[e],L-argininium(1+),e,C6H15N4O2
asn_L[e],L-asparagine,e,C4H8N2O3
asp_L[e],L-aspartate(1-),e,C4H6NO4
btn[e],Biotin,e,C10H15N2O3S
ca2[e],calcium(2+),e,Ca
cbl1[e],Cob(I)alamin,e,C62H88CoN13O14P
cellb[e],cellobiose,e,C12H22O11
cgly[e],L-cysteinylglycine,e,C5H10N2O3S
chol[e],Choline,e,C5H14NO
cit[e],Citrate,e,C6H5O7
cl[e],Chloride,e,Cl
cobalt2[e],Co2+,e,Co
csn[e],cytosine,e,C4H5N3O
cu2[e],Cu2+,e,Cu
cys_L[e],L-cysteine,e,C3H7NO2S
cytd[e],Cytidine,e,C9H13N3O5
dad_2[e],2-deoxyadenosine,e,C10H13N5O3
dcyt[e],Deoxycytidine,e,C9H13N3O4
ddca[e],laurate,e,C12H23O2
dextran40[e],"Dextran 40, 1,6-alpha-D-Glucan",e,C480H800O400
dgsn[e],Deoxyguanosine,e,C10H13N5O4
drib[e],2-deoxy-D-ribose,e,C5H10O4
etoh[e],ethanol,e,C2H6O
fe2[e],Fe2+,e,Fe
fe3[e],Fe3+,e,Fe
fol[e],Folate,e,C19H18N7O6
for[e],Formate,e,CH1O2
fru[e],D-Fructose,e,C6H12O6
fuc_L[e],L-fucose,e,C6H12O5
fum[e],Fumarate,e,C4H2O4
gal[e],D-Galactose,e,C6H12O6
gam[e],D-Glucosamine,e,C6H14NO5
glc_D[e],D-glucose,e,C6H12O6
glcn[e],D-gluconate,e,C6H11O7
gln_L[e],L-glutamine,e,C5H10N2O3
glu_L[e],L-glutamate(1-),e,C5H8NO4
gly[e],Glycine,e,C2H5NO2
glyc3p[e],Glycerol 3-phosphate,e,C3H7O6P
glyc[e],Glycerol,e,C3H8O3
gsn[e],Guanosine,e,C10H13N5O5
gua[e],Guanine,e,C5H5N5O
h2[e],Hydrogen,e,H2
h2o[e],Water,e,H2O
h2s[e],Hydrogen sulfide,e,H2S
h[e],proton,e,H
hdca[e],Hexadecanoate (n-C16:0),e,C16H31O2
