from,to,reacID,sense,flux
m_1,c_5,m_1_411,1,9999
m_1,c_6,m_1_412,1,9999
m_1,c_7,m_1_413,1,9999
m_1,c_14,m_1_414,1,9999
m_1,c_17,m_1_422,1,9999
m_1,c_21,m_1_424,1,9999
m_1,c_22,m_1_427,1,9999
m_1,c_23,m_1_430,1,9999
m_1,c_24,m_1_432,1,9999
m_1,c_26,m_1_434,1,9999
m_1,c_27,m_1_435,1,9999
m_1,c_28,m_1_436,1,9999
m_1,c_30,m_1_439,1,9999
m_1,c_31,m_1_441,1,9999
m_1,c_33,m_1_444,1,9999
m_1,c_34,m_1_445,1,9999
m_1,c_42,m_1_446,1,9999
m_1,c_43,m_1_447,1,9999
m_1,c_44,m_1_448,1,9999
m_1,c_46,m_1_450,1,9999
m_1,c_47,m_1_451,1,9999
m_1,c_50,m_1_452,1,9999
m_1,c_52,m_1_455,1,9999
m_1,c_54,m_1_456,1,9999
m_1,c_55,m_1_457,1,9999
m_1,c_56,m_1_458,1,9999
m_1,c_58,m_1_462,1,9999
m_1,c_57,m_1_463,1,9999
m_1,c_64,m_1_472,1,9999
m_1,c_62,m_1_473,1,9999
m_1,c_66,m_1_475,1,9999
m_1,c_68,m_1_476,1,9999
m_1,c_73,m_1_477,1,9999
m_1,c_74,m_1_479,1,9999
m_1,c_75,m_1_482,1,9999
m_1,c_77,m_1_483,1,9999
m_1,c_79,m_1_484,1,9999
m_1,c_81,m_1_485,1,9999
m_1,c_82,m_1_486,1,9999
m_1,c_83,m_1_488,1,9999
m_1,c_85,m_1_490,1,9999
m_1,c_86,m_1_493,1,9999
m_1,c_87,m_1_494,1,9999
m_1,c_88,m_1_495,1,9999
m_1,c_89,m_1_496,1,9999
m_1,c_93,m_1_497,1,9999
m_1,c_94,m_1_498,1,9999
m_1,c_100,m_1_501,1,9999
m_1,c_102,m_1_503,1,9999
m_1,c_104,m_1_504,1,9999
m_1,c_106,m_1_505,1,9999
m_1,c_107,m_1_506,1,9999
m_1,c_109,m_1_507,1,9999
m_1,c_110,m_1_508,1,9999
m_1,c_111,m_1_509,1,9999
m_1,c_113,m_1_510,1,9999
m_1,c_117,m_1_511,1,9999
m_1,c_120,m_1_514,1,9999
m_1,c_122,m_1_515,1,9999
m_1,c_123,m_1_516,1,9999
m_1,c_124,m_1_517,1,9999
m_1,c_125,m_1_520,1,9999
m_1,c_126,m_1_521,1,9999
m_1,c_128,m_1_522,1,9999
m_1,c_133,m_1_523,1,9999
m_1,c_137,m_1_525,1,9999
m_1,c_138,m_1_526,1,9999
m_1,c_139,m_1_527,1,9999
m_2,c_3,m_2_436,1,9999
m_2,c_5,m_2_445,1,9999
m_2,c_7,m_2_451,1,9999
m_2,c_8,m_2_452,1,9999
m_2,c_10,m_2_453,1,9999
m_2,c_11,m_2_454,1,9999
m_2,c_15,m_2_455,1,9999
m_2,c_16,m_2_456,1,9999
m_2,c_17,m_2_458,1,9999
m_2,c_18,m_2_459,1,9999
m_2,c_19,m_2_460,1,9999
m_2,c_20,m_2_462,1,9999
m_2,c_21,m_2_464,1,9999
m_2,c_23,m_2_466,1,9999
m_2,c_24,m_2_467,1,9999
m_2,c_25,m_2_468,1,9999
m_2,c_27,m_2_471,1,9999
m_2,c_29,m_2_473,1,9999
m_2,c_30,m_2_474,1,9999
m_2,c_31,m_2_476,1,9999
m_2,c_33,m_2_494,1,9999
m_2,c_35,m_2_495,1,9999
m_2,c_36,m_2_496,1,9999
m_2,c_37,m_2_497,1,9999
m_2,c_38,m_2_498,1,9999
m_2,c_39,m_2_499,1,9999
m_2,c_40,m_2_500,1,9999
m_2,c_43,m_2_505,1,9999
m_2,c_44,m_2_506,1,9999
m_2,c_46,m_2_507,1,9999
m_2,c_47,m_2_508,1,9999
m_2,c_48,m_2_509,1,9999
m_2,c_50,m_2_510,1,9999
m_2,c_51,m_2_513,1,9999
m_2,c_52,m_2_517,1,9999
m_2,c_55,m_2_519,1,9999
m_2,c_59,m_2_526,1,9999
m_2,c_64,m_2_527,1,9999
m_2,c_61,m_2_528,1,9999
m_2,c_62,m_2_529,1,9999
m_2,c_63,m_2_530,1,9999
m_2,c_65,m_2_534,1,9999
m_2,c_67,m_2_536,1,9999
m_2,c_70,m_2_556,1,9999
