ReacID,ReacName,SecretionSense,vmax,ks,inhibited
411,EX_ac(e),1,1.46,0.01,0
412,EX_acald(e),1,1.46,0.01,0
413,EX_acgam(e),1,1.46,0.01,0
414,EX_ala_L(e),1,1.46,0.01,0
422,EX_arab_L(e),1,0.26102318,0.01,0
424,EX_asn_L(e),1,0.3285,0.01,0
427,EX_asp_L(e),1,0.3285,0.01,0
430,EX_btn(e),1,1.46,0.01,0
432,EX_ca2(e),1,1.46,0.01,0
434,EX_cellb(e),1,0.10875978,0.01,0
435,EX_cgly(e),1,1.46,0.01,0
436,EX_chol(e),1,1.46,0.01,0
439,EX_cl(e),1,1.46,0.01,0
441,EX_cobalt2(e),1,1.46,0.01,0
444,EX_cu2(e),1,1.46,0.01,0
445,EX_cys_L(e),1,1.46,0.01,0
446,EX_etoh(e),1,1.46,0.01,0
447,EX_fe2(e),1,1.46,0.01,0
448,EX_fe3(e),1,1.46,0.01,0
450,EX_for(e),1,1.46,0.01,0
451,EX_fru(e),1,0.21751956,0.01,0
452,EX_gal(e),1,0.21751956,0.01,0
455,EX_glc(e),1,0.21751956,0.01,0
456,EX_gln_L(e),1,0.2628,0.01,0
457,EX_glu_L(e),1,0.2628,0.01,0
458,EX_gly(e),1,0.657,0.01,0
462,EX_glyc(e),1,2.6274963,0.01,0
463,EX_glyc3p(e),1,1.46,0.01,0
472,EX_h(e),1,1.46,0.01,0
473,EX_h2o(e),1,14.6,0.01,0
475,EX_his_L(e),1,0.219,0.01,0
476,EX_hxan(e),1,1.46,0.01,0
477,EX_k(e),1,1.46,0.01,0
479,EX_kestopt(e),1,0.004118903382,0.01,0
482,EX_lac_L(e),1,1.46,0.01,0
483,EX_leu_L(e),1,0.219,0.01,0
484,EX_lys_L(e),1,0.219,0.01,0
485,EX_malt(e),1,0.10875978,0.01,0
486,EX_man(e),1,0.21751956,0.01,0
488,EX_melib(e),1,0.10875978,0.01,0
490,EX_met_L(e),1,0.2628,0.01,0
493,EX_metsox_S_L(e),1,1.46,0.01,0
494,EX_mg2(e),1,1.46,0.01,0
495,EX_mn2(e),1,1.46,0.01,0
496,EX_mnl(e),1,0.21751956,0.01,0
497,EX_na1(e),1,1.46,0.01,0
498,EX_nac(e),1,1.46,0.01,0
501,EX_oxa(e),1,0.65255722,0.01,0
503,EX_phe_L(e),1,1.46,0.01,0
504,EX_pi(e),1,1.46,0.01,0
505,EX_pro_L(e),1,0.2628,0.01,0
506,EX_ptrc(e),1,1.46,0.01,0
507,EX_pydam(e),1,1.46,0.01,0
508,EX_pydx(e),1,1.46,0.01,0
509,EX_pydxn(e),1,1.46,0.01,0
510,EX_raffin(e),1,0.00686483897,0.01,0
511,EX_ribflv(e),1,1.46,0.01,0
514,EX_ser_L(e),1,1.46,0.01,0
515,EX_so4(e),1,1.46,0.01,0
516,EX_spmd(e),1,1.46,0.01,0
517,EX_strch1(e),1,0.37571494,0.01,0
520,EX_succ(e),1,1.46,0.01,0
521,EX_sucr(e),1,0.10875978,0.01,0
522,EX_thr_L(e),1,0.3285,0.01,0
523,EX_tyr_L(e),1,1.46,0.01,0
525,EX_xan(e),1,1.46,0.01,0
526,EX_xyl_D(e),1,0.26102318,0.01,0
527,EX_zn2(e),1,1.46,0.01,0
