ReacID,ReacName,SecretionSense
410,EX_4abut(e),0
411,EX_ac(e),1
412,EX_acald(e),1
413,EX_acgam(e),1
414,EX_ala_L(e),1
415,EX_alaasp(e),0
416,EX_alagln(e),0
417,EX_alaglu(e),0
418,EX_alagly(e),0
419,EX_alahis(e),0
420,EX_alaleu(e),0
421,EX_alathr(e),0
422,EX_arab_L(e),1
423,EX_arbt(e),0
424,EX_asn_L(e),1
425,EX_aso3(e),0
426,EX_aso4(e),0
427,EX_asp_L(e),1
428,EX_bhb(e),0
429,EX_biomass(e),0
430,EX_btn(e),1
431,EX_but(e),0
432,EX_ca2(e),1
433,EX_cd2(e),0
434,EX_cellb(e),1
435,EX_cgly(e),1
436,EX_chol(e),1
437,EX_chols(e),0
438,EX_chtbs(e),0
439,EX_cl(e),1
440,EX_co2(e),0
441,EX_cobalt2(e),1
442,EX_crn(e),0
443,EX_cro4(e),0
444,EX_cu2(e),1
445,EX_cys_L(e),1
446,EX_etoh(e),1
447,EX_fe2(e),1
448,EX_fe3(e),1
449,EX_fecrm(e),0
450,EX_for(e),1
451,EX_fru(e),1
452,EX_gal(e),1
453,EX_galt(e),0
454,EX_gcald(e),0
455,EX_glc(e),1
456,EX_gln_L(e),1
457,EX_glu_L(e),1
458,EX_gly(e),1
459,EX_glyasn(e),0
460,EX_glyasp(e),0
461,EX_glyb(e),0
462,EX_glyc(e),1
463,EX_glyc3p(e),1
464,EX_glycys(e),0
465,EX_glygln(e),0
466,EX_glyglu(e),0
467,EX_glyleu(e),0
468,EX_glymet(e),0
469,EX_glyphe(e),0
470,EX_glypro(e),0
471,EX_glytyr(e),0
472,EX_h(e),1
473,EX_h2o(e),1
474,EX_hg2(e),0
475,EX_his_L(e),1
476,EX_hxan(e),1
477,EX_k(e),1
478,EX_kesto(e),0
479,EX_kestopt(e),1
480,EX_kestottr(e),0
481,EX_lac_D(e),0
482,EX_lac_L(e),1
483,EX_leu_L(e),1
484,EX_lys_L(e),1
485,EX_malt(e),1
486,EX_man(e),1
487,EX_mantr(e),0
488,EX_melib(e),1
489,EX_met_D(e),0
490,EX_met_L(e),1
491,EX_metala(e),0
492,EX_metsox_R_L(e),0
493,EX_metsox_S_L(e),1
494,EX_mg2(e),1
495,EX_mn2(e),1
496,EX_mnl(e),1
497,EX_na1(e),1
498,EX_nac(e),1
499,EX_nh4(e),0
500,EX_o2(e),0
501,EX_oxa(e),1
502,EX_pb(e),0
503,EX_phe_L(e),1
504,EX_pi(e),1
505,EX_pro_L(e),1
506,EX_ptrc(e),1
507,EX_pydam(e),1
508,EX_pydx(e),1
509,EX_pydxn(e),1
510,EX_raffin(e),1
511,EX_ribflv(e),1
512,EX_salcn(e),0
513,EX_sbt-d(e),0
514,EX_ser_L(e),1
515,EX_so4(e),1
516,EX_spmd(e),1
517,EX_strch1(e),1
518,EX_strch2(e),0
519,EX_stys(e),0
520,EX_succ(e),1
521,EX_sucr(e),1
522,EX_thr_L(e),1
523,EX_tyr_L(e),1
524,EX_urea(e),0
525,EX_xan(e),1
526,EX_xyl_D(e),1
527,EX_zn2(e),1
