ReacID,ReacName,SecretionSense,vmax,ks,inhibited
436,EX_2obut(e),1,1.16,0.01,0
445,EX_ac(e),1,1.16,0.01,0
451,EX_acgam(e),1,1.16,0.01,0
452,EX_acnam(e),1,1.16,0.01,0
453,EX_adn(e),1,1.16,0.01,0
454,EX_adpcbl(e),1,1.16,0.01,0
455,EX_amylopect900(e),1,1.8180796e-05,0.01,0
456,EX_amylose300(e),1,5.4542504e-05,0.01,0
458,EX_arab_L(e),1,0.20738828,0.01,0
459,EX_arabinan101(e),1,0.00019288132,0.01,0
460,EX_arabinogal(e),1,2.5421168e-05,0.01,0
462,EX_arg_L(e),1,0.174,0.01,0
464,EX_asn_L(e),1,0.261,0.01,0
466,EX_btn(e),1,1.16,0.01,0
467,EX_ca2(e),1,1.16,0.01,0
468,EX_cbl1(e),1,1.16,0.01,0
471,EX_cgly(e),1,1.16,0.01,0
473,EX_cit(e),1,1.16,0.01,0
474,EX_cl(e),1,1.16,0.01,0
476,EX_cobalt2(e),1,1.16,0.01,0
494,EX_cu2(e),1,1.16,0.01,0
495,EX_cytd(e),1,1.16,0.01,0
496,EX_dad_2(e),1,1.16,0.01,0
497,EX_dcyt(e),1,1.16,0.01,0
498,EX_ddca(e),1,1.16,0.01,0
499,EX_dextran40(e),1,0.000204534564,0.01,0
500,EX_dgsn(e),1,1.16,0.01,0
505,EX_fe2(e),1,1.16,0.01,0
506,EX_fe3(e),1,1.16,0.01,0
507,EX_for(e),1,1.16,0.01,0
508,EX_fru(e),1,0.17282376,0.01,0
509,EX_fuc_L(e),1,0.17282376,0.01,0
510,EX_gal(e),1,0.17282376,0.01,0
513,EX_gam(e),1,1.16,0.01,0
517,EX_glc(e),1,0.17282376,0.01,0
519,EX_glu_L(e),1,0.2088,0.01,0
526,EX_gsn(e),1,1.16,0.01,0
527,EX_h(e),1,1.16,0.01,0
528,EX_h2(e),1,1.16,0.01,0
529,EX_h2o(e),1,11.6,0.01,0
530,EX_h2s(e),1,1.16,0.01,0
534,EX_hdca(e),1,0.45979036,0.01,0
536,EX_homogal(e),1,0.000148752484,0.01,0
556,EX_indole(e),1,1.16,0.01,0
557,EX_ins(e),1,1.16,0.01,0
558,EX_inulin(e),1,0.00054542562,0.01,0
562,EX_k(e),1,1.16,0.01,0
565,EX_kestopt(e),1,0.003272553372,0.01,0
568,EX_lac_L(e),1,1.16,0.01,0
569,EX_lcts(e),1,0.08641188,0.01,0
570,EX_leu_L(e),1,0.174,0.01,0
571,EX_levan1000(e),1,1.6362728e-05,0.01,0
575,EX_lys_L(e),1,0.174,0.01,0
576,EX_malt(e),1,0.08641188,0.01,0
578,EX_man(e),1,0.17282376,0.01,0
581,EX_melib(e),1,0.08641188,0.01,0
582,EX_meoh(e),1,11.6,0.01,0
583,EX_mg2(e),1,1.16,0.01,0
584,EX_mn2(e),1,1.16,0.01,0
585,EX_na1(e),1,1.16,0.01,0
586,EX_nac(e),1,1.16,0.01,0
588,EX_no2(e),1,1.16,0.01,0
590,EX_ocdca(e),1,0.19636828,0.01,0
593,EX_pect(e),1,3.8728456e-05,0.01,0
595,EX_phe_L(e),1,1.16,0.01,0
596,EX_pheme(e),1,1.16,0.01,0
597,EX_pi(e),1,1.16,0.01,0
600,EX_pro_L(e),1,0.2088,0.01,0
601,EX_ptrc(e),1,1.16,0.01,0
602,EX_pullulan1200(e),1,1.3635684e-05,0.01,0
603,EX_pydam(e),1,1.16,0.01,0
604,EX_pydx(e),1,1.16,0.01,0
605,EX_pydxn(e),1,1.16,0.01,0
606,EX_q8(e),1,1.16,0.01,0
607,EX_raffin(e),1,0.00545425562,0.01,0
608,EX_rhamnogalurI(e),1,1.6811068e-05,0.01,0
609,EX_rhamnogalurII(e),1,0.000309705384,0.01,0
610,EX_rib_D(e),1,0.20738828,0.01,0
611,EX_rmn(e),1,0.17282376,0.01,0
614,EX_ser_L(e),1,1.16,0.01,0
615,EX_so4(e),1,1.16,0.01,0
616,EX_spmd(e),1,1.16,0.01,0
617,EX_strch1(e),1,0.29851324,0.01,0
620,EX_succ(e),1,1.16,0.01,0
621,EX_sucr(e),1,0.08641188,0.01,0
622,EX_thr_L(e),1,0.261,0.01,0
623,EX_thymd(e),1,1.16,0.01,0
624,EX_tre(e),1,0.08641188,0.01,0
625,EX_trp_L(e),1,0.0949112,0.01,0
626,EX_ttdca(e),1,0.07966416,0.01,0
627,EX_ura(e),1,1.16,0.01,0
628,EX_uri(e),1,1.16,0.01,0
629,EX_val_L(e),1,0.2088,0.01,0
630,EX_xan(e),1,1.16,0.01,0
631,EX_xyl_D(e),1,0.20738828,0.01,0
632,EX_zn2(e),1,1.16,0.01,0
