ReacID,ReacName,SecretionSense
435,EX_12ppd_S(e),0
436,EX_2obut(e),1
437,EX_2omfuc(e),0
438,EX_2omxyl(e),0
439,EX_3ddlhept(e),0
440,EX_4abut(e),0
441,EX_Ser_Thr(e),0
442,EX_T_antigen(e),0
443,EX_Tn_antigen(e),0
444,EX_Tyr_ggn(e),0
445,EX_ac(e),1
446,EX_acerA(e),0
447,EX_acgal(e),0
448,EX_acgalglcur(e),0
449,EX_acgalidour(e),0
450,EX_acgalidour2s(e),0
451,EX_acgam(e),1
452,EX_acnam(e),1
453,EX_adn(e),1
454,EX_adpcbl(e),1
455,EX_amylopect900(e),1
456,EX_amylose300(e),1
457,EX_apio-D(e),0
458,EX_arab_L(e),1
459,EX_arabinan101(e),1
460,EX_arabinogal(e),1
461,EX_arabttr(e),0
462,EX_arg_L(e),1
463,EX_arsenb(e),0
464,EX_asn_L(e),1
465,EX_biomass(e),0
466,EX_btn(e),1
467,EX_ca2(e),1
468,EX_cbl1(e),1
469,EX_cbl2(e),0
470,EX_cd2(e),0
471,EX_cgly(e),1
472,EX_chtbs(e),0
473,EX_cit(e),1
474,EX_cl(e),1
475,EX_co2(e),0
476,EX_cobalt2(e),1
477,EX_core2(e),0
478,EX_core3(e),0
479,EX_core4(e),0
480,EX_core5(e),0
481,EX_core6(e),0
482,EX_core7(e),0
483,EX_core8(e),0
484,EX_cro4(e),0
485,EX_cspg_a(e),0
486,EX_cspg_a_degr(e),0
487,EX_cspg_ab_rest(e),0
488,EX_cspg_b(e),0
489,EX_cspg_b_degr(e),0
490,EX_cspg_c(e),0
491,EX_cspg_c_degr(e),0
492,EX_cspg_c_rest(e),0
493,EX_ctbt(e),0
494,EX_cu2(e),1
495,EX_cytd(e),1
496,EX_dad_2(e),1
497,EX_dcyt(e),1
498,EX_ddca(e),1
499,EX_dextran40(e),1
500,EX_dgsn(e),1
501,EX_din(e),0
502,EX_dsT_antigen(e),0
503,EX_duri(e),0
504,EX_f1a(e),0
505,EX_fe2(e),1
506,EX_fe3(e),1
507,EX_for(e),1
508,EX_fru(e),1
509,EX_fuc_L(e),1
510,EX_gal(e),1
511,EX_galt(e),0
512,EX_galur(e),0
513,EX_gam(e),1
514,EX_gam26s(e),0
515,EX_gbbtn(e),0
516,EX_gcald(e),0
517,EX_glc(e),1
518,EX_glcur(e),0
519,EX_glu_L(e),1
520,EX_glyb(e),0
521,EX_glygn2(e),0
522,EX_glygn4(e),0
523,EX_glygn5(e),0
524,EX_gncore1(e),0
525,EX_gncore2(e),0
526,EX_gsn(e),1
527,EX_h(e),1
528,EX_h2(e),1
529,EX_h2o(e),1
530,EX_h2s(e),1
531,EX_ha(e),0
532,EX_ha_deg1(e),0
533,EX_ha_pre1(e),0
534,EX_hdca(e),1
535,EX_hg2(e),0
536,EX_homogal(e),1
537,EX_hspg(e),0
538,EX_hspg_degr_1(e),0
539,EX_hspg_degr_10(e),0
540,EX_hspg_degr_11(e),0
541,EX_hspg_degr_12(e),0
542,EX_hspg_degr_13(e),0
543,EX_hspg_degr_14(e),0
544,EX_hspg_degr_15(e),0
545,EX_hspg_degr_2(e),0
546,EX_hspg_degr_3(e),0
547,EX_hspg_degr_4(e),0
548,EX_hspg_degr_5(e),0
549,EX_hspg_degr_6(e),0
550,EX_hspg_degr_7(e),0
551,EX_hspg_degr_8(e),0
552,EX_hspg_degr_9(e),0
553,EX_hspg_rest(e),0
554,EX_idour(e),0
555,EX_ind3ac(e),0
556,EX_indole(e),1
557,EX_ins(e),1
558,EX_inulin(e),1
559,EX_isobut(e),0
560,EX_isocapr(e),0
561,EX_isoval(e),0
562,EX_k(e),1
563,EX_kdo(e),0
564,EX_kesto(e),0
565,EX_kestopt(e),1
566,EX_kestottr(e),0
567,EX_lac_D(e),0
568,EX_lac_L(e),1
569,EX_lcts(e),1
570,EX_leu_L(e),1
571,EX_levan1000(e),1
572,EX_levanb(e),0
573,EX_levanttr(e),0
574,EX_levantttr(e),0
575,EX_lys_L(e),1
576,EX_malt(e),1
577,EX_malttr(e),0
578,EX_man(e),1
579,EX_mannan(e),0
580,EX_mantr(e),0
581,EX_melib(e),1
582,EX_meoh(e),1
583,EX_mg2(e),1
584,EX_mn2(e),1
585,EX_na1(e),1
586,EX_nac(e),1
587,EX_nh4(e),0
588,EX_no2(e),1
589,EX_o2(e),0
590,EX_ocdca(e),1
591,EX_pac(e),0
592,EX_pb(e),0
593,EX_pect(e),1
594,EX_pecticgal(e),0
595,EX_phe_L(e),1
596,EX_pheme(e),1
597,EX_pi(e),1
598,EX_ppa(e),0
599,EX_ppi(e),0
600,EX_pro_L(e),1
601,EX_ptrc(e),1
602,EX_pullulan1200(e),1
603,EX_pydam(e),1
604,EX_pydx(e),1
605,EX_pydxn(e),1
606,EX_q8(e),1
607,EX_raffin(e),1
608,EX_rhamnogalurI(e),1
609,EX_rhamnogalurII(e),1
610,EX_rib_D(e),1
611,EX_rmn(e),1
612,EX_sT_antigen(e),0
613,EX_sTn_antigen(e),0
614,EX_ser_L(e),1
615,EX_so4(e),1
616,EX_spmd(e),1
617,EX_strch1(e),1
618,EX_strch2(e),0
619,EX_stys(e),0
620,EX_succ(e),1
621,EX_sucr(e),1
622,EX_thr_L(e),1
623,EX_thymd(e),1
624,EX_tre(e),1
625,EX_trp_L(e),1
626,EX_ttdca(e),1
627,EX_ura(e),1
628,EX_uri(e),1
629,EX_val_L(e),1
630,EX_xan(e),1
631,EX_xyl_D(e),1
632,EX_zn2(e),1
