ReacID,ReacName,SecretionSense
252,EX_ac(e),1
253,EX_acald(e),1
254,EX_ala_L(e),1
255,EX_alaasp(e),0
256,EX_alagln(e),0
257,EX_alaglu(e),0
258,EX_alagly(e),0
259,EX_alahis(e),0
260,EX_alaleu(e),0
261,EX_alathr(e),0
262,EX_arab_L(e),1
263,EX_arabinogal(e),1
264,EX_arabttr(e),0
265,EX_asn_L(e),1
266,EX_asp_L(e),1
267,EX_biomass(e),0
268,EX_btn(e),1
269,EX_ca2(e),1
270,EX_cd2(e),0
271,EX_cgly(e),1
272,EX_cl(e),1
273,EX_co2(e),0
274,EX_cobalt2(e),1
275,EX_cu2(e),1
276,EX_cys_L(e),1
277,EX_dpcoa(e),0
278,EX_drib(e),1
279,EX_etoh(e),1
280,EX_fe2(e),1
281,EX_fe3(e),1
282,EX_for(e),1
283,EX_fru(e),1
284,EX_gal(e),1
285,EX_glc(e),1
286,EX_glcur(e),0
287,EX_gln_L(e),1
288,EX_glu_L(e),1
289,EX_gly(e),1
290,EX_glyasn(e),0
291,EX_glyasp(e),0
292,EX_glyc(e),1
293,EX_glycys(e),0
294,EX_glygln(e),0
295,EX_glyglu(e),0
296,EX_glyleu(e),0
297,EX_glymet(e),0
298,EX_glyphe(e),0
299,EX_glypro(e),0
300,EX_glytyr(e),0
301,EX_h(e),1
302,EX_h2o(e),1
303,EX_hg2(e),0
304,EX_his_L(e),1
305,EX_hxan(e),1
306,EX_ile_L(e),1
307,EX_k(e),1
308,EX_kesto(e),0
309,EX_kestopt(e),1
310,EX_kestottr(e),0
311,EX_lac_L(e),1
312,EX_lcts(e),1
313,EX_leu_L(e),1
314,EX_lys_L(e),1
315,EX_malt(e),1
316,EX_malthx(e),0
317,EX_malttr(e),0
318,EX_mantr(e),0
319,EX_melib(e),1
320,EX_met_D(e),0
321,EX_met_L(e),1
322,EX_metala(e),0
323,EX_metsox_R_L(e),0
324,EX_metsox_S_L(e),1
325,EX_mg2(e),1
326,EX_mn2(e),1
327,EX_na1(e),1
328,EX_nac(e),1
329,EX_nh4(e),0
330,EX_no3(e),1
331,EX_o2(e),0
332,EX_pb(e),0
333,EX_phe_L(e),1
334,EX_pi(e),1
335,EX_pnto_R(e),1
336,EX_ppi(e),0
337,EX_pro_L(e),1
338,EX_pydam(e),1
339,EX_pydx(e),1
340,EX_pydxn(e),1
341,EX_raffin(e),1
342,EX_rib_D(e),1
343,EX_ribflv(e),1
344,EX_rmn(e),1
345,EX_ser_L(e),1
346,EX_so4(e),1
347,EX_stys(e),0
348,EX_succ(e),1
349,EX_sucr(e),1
350,EX_taur(e),0
351,EX_thm(e),1
352,EX_thr_L(e),1
353,EX_trp_L(e),1
354,EX_tyr_L(e),1
355,EX_urea(e),0
356,EX_val_L(e),1
357,EX_xan(e),1
358,EX_xyl_D(e),1
359,EX_zn2(e),1
