ReacID,ReacName,SecretionSense,vmax,ks,inhibited
385,EX_26dap_M(e),1,1.46,0.01,0
388,EX_ac(e),1,1.46,0.01,0
389,EX_acald(e),1,1.46,0.01,0
390,EX_acgam(e),1,1.46,0.01,0
391,EX_ala_L(e),1,1.46,0.01,0
399,EX_arab_L(e),1,0.26102318,0.01,0
402,EX_arg_L(e),1,0.219,0.01,0
404,EX_asn_L(e),1,0.3285,0.01,0
405,EX_asp_L(e),1,0.3285,0.01,0
407,EX_btn(e),1,1.46,0.01,0
409,EX_ca2(e),1,1.46,0.01,0
411,EX_cellb(e),1,0.10875978,0.01,0
412,EX_cgly(e),1,1.46,0.01,0
413,EX_chol(e),1,1.46,0.01,0
415,EX_cit(e),1,1.46,0.01,0
416,EX_cl(e),1,1.46,0.01,0
418,EX_cobalt2(e),1,1.46,0.01,0
420,EX_cu2(e),1,1.46,0.01,0
421,EX_cys_L(e),1,1.46,0.01,0
423,EX_drib(e),1,0.26102318,0.01,0
426,EX_etoh(e),1,1.46,0.01,0
427,EX_fe2(e),1,1.46,0.01,0
428,EX_fe3(e),1,1.46,0.01,0
430,EX_for(e),1,1.46,0.01,0
431,EX_fru(e),1,0.21751956,0.01,0
432,EX_fum(e),1,1.46,0.01,0
433,EX_gal(e),1,0.21751956,0.01,0
435,EX_gam(e),1,1.46,0.01,0
437,EX_glc(e),1,0.21751956,0.01,0
438,EX_gln_L(e),1,0.2628,0.01,0
439,EX_glu_L(e),1,0.2628,0.01,0
440,EX_gly(e),1,0.657,0.01,0
444,EX_glyc3p(e),1,1.46,0.01,0
453,EX_h(e),1,1.46,0.01,0
454,EX_h2(e),1,1.46,0.01,0
455,EX_h2o(e),1,14.6,0.01,0
458,EX_his_L(e),1,0.219,0.01,0
459,EX_hxan(e),1,1.46,0.01,0
460,EX_ile_L(e),1,0.219,0.01,0
462,EX_k(e),1,1.46,0.01,0
464,EX_lac_L(e),1,1.46,0.01,0
465,EX_lcts(e),1,0.10875978,0.01,0
466,EX_leu_L(e),1,0.219,0.01,0
467,EX_lys_L(e),1,0.219,0.01,0
468,EX_malt(e),1,0.10875978,0.01,0
471,EX_man(e),1,0.21751956,0.01,0
473,EX_melib(e),1,0.10875978,0.01,0
474,EX_met_L(e),1,0.2628,0.01,0
476,EX_mg2(e),1,1.46,0.01,0
477,EX_mn2(e),1,1.46,0.01,0
478,EX_mnl(e),1,0.21751956,0.01,0
480,EX_mqn7(e),1,1.46,0.01,0
482,EX_na1(e),1,1.46,0.01,0
483,EX_nac(e),1,1.46,0.01,0
486,EX_ocdca(e),1,0.24715318,0.01,0
487,EX_orn(e),1,1.46,0.01,0
488,EX_oxa(e),1,0.65255722,0.01,0
490,EX_phe_L(e),1,1.46,0.01,0
491,EX_pheme(e),1,1.46,0.01,0
492,EX_pi(e),1,1.46,0.01,0
493,EX_pnto_R(e),1,1.46,0.01,0
494,EX_pro_L(e),1,0.2628,0.01,0
495,EX_ptrc(e),1,1.46,0.01,0
496,EX_raffin(e),1,0.00686483897,0.01,0
497,EX_rib_D(e),1,0.26102318,0.01,0
498,EX_ribflv(e),1,1.46,0.01,0
501,EX_ser_L(e),1,1.46,0.01,0
502,EX_so4(e),1,1.46,0.01,0
503,EX_spmd(e),1,1.46,0.01,0
505,EX_succ(e),1,1.46,0.01,0
506,EX_sucr(e),1,0.10875978,0.01,0
509,EX_thm(e),1,1.46,0.01,0
510,EX_thr_L(e),1,0.3285,0.01,0
511,EX_tre(e),1,0.10875978,0.01,0
512,EX_tyr_L(e),1,1.46,0.01,0
513,EX_ura(e),1,1.46,0.01,0
514,EX_val_L(e),1,0.2628,0.01,0
515,EX_xan(e),1,1.46,0.01,0
516,EX_xyl_D(e),1,0.26102318,0.01,0
517,EX_zn2(e),1,1.46,0.01,0
