ReacID,ReacName,SecretionSense
385,EX_26dap_M(e),1
386,EX_2ddglcn(e),0
387,EX_Lcyst(e),0
388,EX_ac(e),1
389,EX_acald(e),1
390,EX_acgam(e),1
391,EX_ala_L(e),1
392,EX_alaasp(e),0
393,EX_alagln(e),0
394,EX_alaglu(e),0
395,EX_alagly(e),0
396,EX_alahis(e),0
397,EX_alaleu(e),0
398,EX_alathr(e),0
399,EX_arab_L(e),1
400,EX_arabttr(e),0
401,EX_arbt(e),0
402,EX_arg_L(e),1
403,EX_arsenb(e),0
404,EX_asn_L(e),1
405,EX_asp_L(e),1
406,EX_biomass(e),0
407,EX_btn(e),1
408,EX_butso3(e),0
409,EX_ca2(e),1
410,EX_cd2(e),0
411,EX_cellb(e),1
412,EX_cgly(e),1
413,EX_chol(e),1
414,EX_chtbs(e),0
415,EX_cit(e),1
416,EX_cl(e),1
417,EX_co2(e),0
418,EX_cobalt2(e),1
419,EX_cro4(e),0
420,EX_cu2(e),1
421,EX_cys_L(e),1
422,EX_dextrin(e),0
423,EX_drib(e),1
424,EX_etha(e),0
425,EX_ethso3(e),0
426,EX_etoh(e),1
427,EX_fe2(e),1
428,EX_fe3(e),1
429,EX_fecrm(e),0
430,EX_for(e),1
431,EX_fru(e),1
432,EX_fum(e),1
433,EX_gal(e),1
434,EX_galt(e),0
435,EX_gam(e),1
436,EX_gcald(e),0
437,EX_glc(e),1
438,EX_gln_L(e),1
439,EX_glu_L(e),1
440,EX_gly(e),1
441,EX_glyasn(e),0
442,EX_glyasp(e),0
443,EX_glyb(e),0
444,EX_glyc3p(e),1
445,EX_glycys(e),0
446,EX_glygln(e),0
447,EX_glyglu(e),0
448,EX_glyleu(e),0
449,EX_glymet(e),0
450,EX_glyphe(e),0
451,EX_glypro(e),0
452,EX_glytyr(e),0
453,EX_h(e),1
454,EX_h2(e),1
455,EX_h2o(e),1
456,EX_hexs(e),0
457,EX_hg2(e),0
458,EX_his_L(e),1
459,EX_hxan(e),1
460,EX_ile_L(e),1
461,EX_isetac(e),0
462,EX_k(e),1
463,EX_lac_D(e),0
464,EX_lac_L(e),1
465,EX_lcts(e),1
466,EX_leu_L(e),1
467,EX_lys_L(e),1
468,EX_malt(e),1
469,EX_malthx(e),0
470,EX_malttr(e),0
471,EX_man(e),1
472,EX_mantr(e),0
473,EX_melib(e),1
474,EX_met_L(e),1
475,EX_metala(e),0
476,EX_mg2(e),1
477,EX_mn2(e),1
478,EX_mnl(e),1
479,EX_mops(e),0
480,EX_mqn7(e),1
481,EX_mso3(e),0
482,EX_na1(e),1
483,EX_nac(e),1
484,EX_nh4(e),0
485,EX_o2(e),0
486,EX_ocdca(e),1
487,EX_orn(e),1
488,EX_oxa(e),1
489,EX_pb(e),0
490,EX_phe_L(e),1
491,EX_pheme(e),1
492,EX_pi(e),1
493,EX_pnto_R(e),1
494,EX_pro_L(e),1
495,EX_ptrc(e),1
496,EX_raffin(e),1
497,EX_rib_D(e),1
498,EX_ribflv(e),1
499,EX_salcn(e),0
500,EX_sbt-d(e),0
501,EX_ser_L(e),1
502,EX_so4(e),1
503,EX_spmd(e),1
504,EX_stys(e),0
505,EX_succ(e),1
506,EX_sucr(e),1
507,EX_sulfac(e),0
508,EX_taur(e),0
509,EX_thm(e),1
510,EX_thr_L(e),1
511,EX_tre(e),1
512,EX_tyr_L(e),1
513,EX_ura(e),1
514,EX_val_L(e),1
515,EX_xan(e),1
516,EX_xyl_D(e),1
517,EX_zn2(e),1
