ReacID,ReacName,SecretionSense,vmax,ks,inhibited
472,EX_12dgr180(e),1,1.46,0.01,0
475,EX_26dap_M(e),1,1.46,0.01,0
476,EX_2obut(e),1,1.46,0.01,0
479,EX_ac(e),1,1.46,0.01,0
480,EX_acald(e),1,1.46,0.01,0
481,EX_acgam(e),1,1.46,0.01,0
482,EX_ade(e),1,1.46,0.01,0
483,EX_adn(e),1,1.46,0.01,0
484,EX_adpcbl(e),1,1.46,0.01,0
485,EX_ala_D(e),1,1.46,0.01,0
486,EX_ala_L(e),1,1.46,0.01,0
495,EX_arab_L(e),1,0.26102318,0.01,0
497,EX_arg_L(e),1,0.219,0.01,0
498,EX_asn_L(e),1,0.3285,0.01,0
499,EX_asp_L(e),1,0.3285,0.01,0
501,EX_btn(e),1,1.46,0.01,0
504,EX_ca2(e),1,1.46,0.01,0
505,EX_cbl1(e),1,1.46,0.01,0
508,EX_cellb(e),1,0.10875978,0.01,0
509,EX_cgly(e),1,1.46,0.01,0
510,EX_cl(e),1,1.46,0.01,0
512,EX_cobalt2(e),1,1.46,0.01,0
514,EX_csn(e),1,1.46,0.01,0
515,EX_cu2(e),1,1.46,0.01,0
516,EX_cys_L(e),1,1.46,0.01,0
517,EX_cytd(e),1,1.46,0.01,0
518,EX_dad_2(e),1,1.46,0.01,0
519,EX_dcyt(e),1,1.46,0.01,0
520,EX_ddca(e),1,1.46,0.01,0
522,EX_dgsn(e),1,1.46,0.01,0
524,EX_drib(e),1,0.26102318,0.01,0
527,EX_etoh(e),1,1.46,0.01,0
528,EX_fe2(e),1,1.46,0.01,0
529,EX_fe3(e),1,1.46,0.01,0
531,EX_fol(e),1,1.46,0.01,0
532,EX_for(e),1,1.46,0.01,0
533,EX_fru(e),1,0.21751956,0.01,0
536,EX_gal(e),1,0.21751956,0.01,0
539,EX_gam(e),1,1.46,0.01,0
541,EX_glc(e),1,0.21751956,0.01,0
542,EX_gln_L(e),1,0.2628,0.01,0
543,EX_glu_L(e),1,0.2628,0.01,0
544,EX_gly(e),1,0.657,0.01,0
548,EX_glyc(e),1,2.6274963,0.01,0
549,EX_glyc3p(e),1,1.46,0.01,0
561,EX_gua(e),1,1.46,0.01,0
562,EX_h(e),1,1.46,0.01,0
563,EX_h2(e),1,1.46,0.01,0
564,EX_h2o(e),1,14.6,0.01,0
565,EX_h2s(e),1,1.46,0.01,0
566,EX_hdca(e),1,0.57870166,0.01,0
569,EX_his_L(e),1,0.219,0.01,0
570,EX_hxan(e),1,1.46,0.01,0
571,EX_ile_L(e),1,0.219,0.01,0
572,EX_ins(e),1,1.46,0.01,0
574,EX_k(e),1,1.46,0.01,0
576,EX_kestopt(e),1,0.004118903382,0.01,0
579,EX_lac_L(e),1,1.46,0.01,0
580,EX_lcts(e),1,0.10875978,0.01,0
581,EX_leu_L(e),1,0.219,0.01,0
582,EX_lys_L(e),1,0.219,0.01,0
583,EX_malt(e),1,0.10875978,0.01,0
586,EX_man(e),1,0.21751956,0.01,0
589,EX_melib(e),1,0.10875978,0.01,0
590,EX_meoh(e),1,14.6,0.01,0
592,EX_met_L(e),1,0.2628,0.01,0
595,EX_metsox_S_L(e),1,1.46,0.01,0
596,EX_mg2(e),1,1.46,0.01,0
597,EX_mn2(e),1,1.46,0.01,0
598,EX_mnl(e),1,0.21751956,0.01,0
599,EX_mobd(e),1,1.46,0.01,0
601,EX_mqn8(e),1,1.46,0.01,0
604,EX_na1(e),1,1.46,0.01,0
605,EX_nac(e),1,1.46,0.01,0
607,EX_no2(e),1,1.46,0.01,0
608,EX_no3(e),1,1.46,0.01,0
610,EX_ocdca(e),1,0.24715318,0.01,0
612,EX_pect(e),1,4.8744436e-05,0.01,0
613,EX_phe_L(e),1,1.46,0.01,0
614,EX_pi(e),1,1.46,0.01,0
616,EX_pro_L(e),1,0.2628,0.01,0
617,EX_ptrc(e),1,1.46,0.01,0
618,EX_raffin(e),1,0.00686483897,0.01,0
619,EX_rib_D(e),1,0.26102318,0.01,0
620,EX_ribflv(e),1,1.46,0.01,0
623,EX_ser_L(e),1,1.46,0.01,0
624,EX_sheme(e),1,1.46,0.01,0
625,EX_so4(e),1,1.46,0.01,0
626,EX_spmd(e),1,1.46,0.01,0
627,EX_strch1(e),1,0.37571494,0.01,0
630,EX_succ(e),1,1.46,0.01,0
631,EX_sucr(e),1,0.10875978,0.01,0
634,EX_thm(e),1,1.46,0.01,0
635,EX_thr_L(e),1,0.3285,0.01,0
636,EX_thymd(e),1,1.46,0.01,0
637,EX_tre(e),1,0.10875978,0.01,0
638,EX_trp_L(e),1,0.1194572,0.01,0
640,EX_ttdca(e),1,0.10026696,0.01,0
641,EX_tyr_L(e),1,1.46,0.01,0
642,EX_ura(e),1,1.46,0.01,0
644,EX_uri(e),1,1.46,0.01,0
645,EX_val_L(e),1,0.2628,0.01,0
646,EX_xan(e),1,1.46,0.01,0
647,EX_xyl_D(e),1,0.26102318,0.01,0
648,EX_zn2(e),1,1.46,0.01,0
