ReacID,ReacName,SecretionSense
472,EX_12dgr180(e),1
473,EX_13ppd(e),0
474,EX_15dap(e),0
475,EX_26dap_M(e),1
476,EX_2obut(e),1
477,EX_Lcyst(e),0
478,EX_Tyr_ggn(e),0
479,EX_ac(e),1
480,EX_acald(e),1
481,EX_acgam(e),1
482,EX_ade(e),1
483,EX_adn(e),1
484,EX_adpcbl(e),1
485,EX_ala_D(e),1
486,EX_ala_L(e),1
487,EX_alaasp(e),0
488,EX_alagln(e),0
489,EX_alaglu(e),0
490,EX_alagly(e),0
491,EX_alahis(e),0
492,EX_alaleu(e),0
493,EX_alathr(e),0
494,EX_alltn(e),0
495,EX_arab_L(e),1
496,EX_arbt(e),0
497,EX_arg_L(e),1
498,EX_asn_L(e),1
499,EX_asp_L(e),1
500,EX_biomass(e),0
501,EX_btn(e),1
502,EX_but(e),0
503,EX_butso3(e),0
504,EX_ca2(e),1
505,EX_cbl1(e),1
506,EX_cbl2(e),0
507,EX_cd2(e),0
508,EX_cellb(e),1
509,EX_cgly(e),1
510,EX_cl(e),1
511,EX_co2(e),0
512,EX_cobalt2(e),1
513,EX_cro4(e),0
514,EX_csn(e),1
515,EX_cu2(e),1
516,EX_cys_L(e),1
517,EX_cytd(e),1
518,EX_dad_2(e),1
519,EX_dcyt(e),1
520,EX_ddca(e),1
521,EX_dextrin(e),0
522,EX_dgsn(e),1
523,EX_din(e),0
524,EX_drib(e),1
525,EX_duri(e),0
526,EX_ethso3(e),0
527,EX_etoh(e),1
528,EX_fe2(e),1
529,EX_fe3(e),1
530,EX_fecrm(e),0
531,EX_fol(e),1
532,EX_for(e),1
533,EX_fru(e),1
534,EX_fuc1p_L(e),0
535,EX_g6p(e),0
536,EX_gal(e),1
537,EX_galt(e),0
538,EX_galur(e),0
539,EX_gam(e),1
540,EX_gcald(e),0
541,EX_glc(e),1
542,EX_gln_L(e),1
543,EX_glu_L(e),1
544,EX_gly(e),1
545,EX_glyasn(e),0
546,EX_glyasp(e),0
547,EX_glyb(e),0
548,EX_glyc(e),1
549,EX_glyc3p(e),1
550,EX_glycys(e),0
551,EX_glygln(e),0
552,EX_glyglu(e),0
553,EX_glygn2(e),0
554,EX_glygn4(e),0
555,EX_glygn5(e),0
556,EX_glyleu(e),0
557,EX_glymet(e),0
558,EX_glyphe(e),0
559,EX_glypro(e),0
560,EX_glytyr(e),0
561,EX_gua(e),1
562,EX_h(e),1
563,EX_h2(e),1
564,EX_h2o(e),1
565,EX_h2s(e),1
566,EX_hdca(e),1
567,EX_hexs(e),0
568,EX_hg2(e),0
569,EX_his_L(e),1
570,EX_hxan(e),1
571,EX_ile_L(e),1
572,EX_ins(e),1
573,EX_isetac(e),0
574,EX_k(e),1
575,EX_kesto(e),0
576,EX_kestopt(e),1
577,EX_kestottr(e),0
578,EX_lac_D(e),0
579,EX_lac_L(e),1
580,EX_lcts(e),1
581,EX_leu_L(e),1
582,EX_lys_L(e),1
583,EX_malt(e),1
584,EX_malthx(e),0
585,EX_malttr(e),0
586,EX_man(e),1
587,EX_man6p(e),0
588,EX_mantr(e),0
589,EX_melib(e),1
590,EX_meoh(e),1
591,EX_met_D(e),0
592,EX_met_L(e),1
593,EX_metala(e),0
594,EX_metsox_R_L(e),0
595,EX_metsox_S_L(e),1
596,EX_mg2(e),1
597,EX_mn2(e),1
598,EX_mnl(e),1
599,EX_mobd(e),1
600,EX_mops(e),0
601,EX_mqn8(e),1
602,EX_mso3(e),0
603,EX_n2(e),0
604,EX_na1(e),1
605,EX_nac(e),1
606,EX_nh4(e),0
607,EX_no2(e),1
608,EX_no3(e),1
609,EX_o2(e),0
610,EX_ocdca(e),1
611,EX_pb(e),0
612,EX_pect(e),1
613,EX_phe_L(e),1
614,EX_pi(e),1
615,EX_ppi(e),0
616,EX_pro_L(e),1
617,EX_ptrc(e),1
618,EX_raffin(e),1
619,EX_rib_D(e),1
620,EX_ribflv(e),1
621,EX_salcn(e),0
622,EX_sbt-d(e),0
623,EX_ser_L(e),1
624,EX_sheme(e),1
625,EX_so4(e),1
626,EX_spmd(e),1
627,EX_strch1(e),1
628,EX_strch2(e),0
629,EX_stys(e),0
630,EX_succ(e),1
631,EX_sucr(e),1
632,EX_sulfac(e),0
633,EX_taur(e),0
634,EX_thm(e),1
635,EX_thr_L(e),1
636,EX_thymd(e),1
637,EX_tre(e),1
638,EX_trp_L(e),1
639,EX_tsul(e),0
640,EX_ttdca(e),1
641,EX_tyr_L(e),1
642,EX_ura(e),1
643,EX_urea(e),0
644,EX_uri(e),1
645,EX_val_L(e),1
646,EX_xan(e),1
647,EX_xyl_D(e),1
648,EX_zn2(e),1
