ReacID,ReacName,SecretionSense,vmax,ks,inhibited
339,EX_ac(e),1,3.07,0.01,0
340,EX_acald(e),1,3.07,0.01,0
341,EX_acgam(e),1,3.07,0.01,0
342,EX_ala_L(e),1,3.07,0.01,0
350,EX_arab_L(e),1,0.54886381,0.01,0
352,EX_asn_L(e),1,0.69075,0.01,0
353,EX_asp_L(e),1,0.69075,0.01,0
355,EX_btn(e),1,3.07,0.01,0
356,EX_ca2(e),1,3.07,0.01,0
358,EX_cellb(e),1,0.22869351,0.01,0
359,EX_cgly(e),1,3.07,0.01,0
360,EX_cl(e),1,3.07,0.01,0
362,EX_cobalt2(e),1,3.07,0.01,0
364,EX_cu2(e),1,3.07,0.01,0
365,EX_cys_L(e),1,3.07,0.01,0
368,EX_etoh(e),1,3.07,0.01,0
369,EX_fe2(e),1,3.07,0.01,0
370,EX_fe3(e),1,3.07,0.01,0
372,EX_for(e),1,3.07,0.01,0
373,EX_fru(e),1,0.45738702,0.01,0
374,EX_gal(e),1,0.45738702,0.01,0
375,EX_glc(e),1,0.45738702,0.01,0
376,EX_gln_L(e),1,0.5526,0.01,0
377,EX_glu_L(e),1,0.5526,0.01,0
378,EX_gly(e),1,1.3815,0.01,0
382,EX_glyc3p(e),1,3.07,0.01,0
391,EX_h(e),1,3.07,0.01,0
392,EX_h2o(e),1,30.7,0.01,0
394,EX_his_L(e),1,0.4605,0.01,0
395,EX_hxan(e),1,3.07,0.01,0
396,EX_ile_L(e),1,0.4605,0.01,0
397,EX_k(e),1,3.07,0.01,0
399,EX_kestopt(e),1,0.008660981769,0.01,0
402,EX_lac_L(e),1,3.07,0.01,0
403,EX_lcts(e),1,0.22869351,0.01,0
404,EX_leu_L(e),1,0.4605,0.01,0
405,EX_lys_L(e),1,0.4605,0.01,0
406,EX_malt(e),1,0.22869351,0.01,0
407,EX_man(e),1,0.45738702,0.01,0
409,EX_melib(e),1,0.22869351,0.01,0
411,EX_met_L(e),1,0.5526,0.01,0
414,EX_metsox_S_L(e),1,3.07,0.01,0
415,EX_mg2(e),1,3.07,0.01,0
416,EX_mn2(e),1,3.07,0.01,0
417,EX_na1(e),1,3.07,0.01,0
418,EX_nac(e),1,3.07,0.01,0
422,EX_phe_L(e),1,3.07,0.01,0
423,EX_pi(e),1,3.07,0.01,0
424,EX_pnto_R(e),1,3.07,0.01,0
426,EX_pro_L(e),1,0.5526,0.01,0
427,EX_ptrc(e),1,3.07,0.01,0
428,EX_pydx(e),1,3.07,0.01,0
430,EX_raffin(e),1,0.014434969615,0.01,0
431,EX_ribflv(e),1,3.07,0.01,0
433,EX_ser_L(e),1,3.07,0.01,0
434,EX_so4(e),1,3.07,0.01,0
435,EX_spmd(e),1,3.07,0.01,0
437,EX_succ(e),1,3.07,0.01,0
438,EX_sucr(e),1,0.22869351,0.01,0
439,EX_thr_L(e),1,0.69075,0.01,0
440,EX_tre(e),1,0.22869351,0.01,0
441,EX_tyr_L(e),1,3.07,0.01,0
442,EX_ura(e),1,3.07,0.01,0
444,EX_val_L(e),1,0.5526,0.01,0
445,EX_xan(e),1,3.07,0.01,0
446,EX_zn2(e),1,3.07,0.01,0
