ReacID,ReacName,SecretionSense
339,EX_ac(e),1
340,EX_acald(e),1
341,EX_acgam(e),1
342,EX_ala_L(e),1
343,EX_alaasp(e),0
344,EX_alagln(e),0
345,EX_alaglu(e),0
346,EX_alagly(e),0
347,EX_alahis(e),0
348,EX_alaleu(e),0
349,EX_alathr(e),0
350,EX_arab_L(e),1
351,EX_arbt(e),0
352,EX_asn_L(e),1
353,EX_asp_L(e),1
354,EX_biomass(e),0
355,EX_btn(e),1
356,EX_ca2(e),1
357,EX_cd2(e),0
358,EX_cellb(e),1
359,EX_cgly(e),1
360,EX_cl(e),1
361,EX_co2(e),0
362,EX_cobalt2(e),1
363,EX_cro4(e),0
364,EX_cu2(e),1
365,EX_cys_L(e),1
366,EX_dextrin(e),0
367,EX_etha(e),0
368,EX_etoh(e),1
369,EX_fe2(e),1
370,EX_fe3(e),1
371,EX_fecrm(e),0
372,EX_for(e),1
373,EX_fru(e),1
374,EX_gal(e),1
375,EX_glc(e),1
376,EX_gln_L(e),1
377,EX_glu_L(e),1
378,EX_gly(e),1
379,EX_glyasn(e),0
380,EX_glyasp(e),0
381,EX_glyb(e),0
382,EX_glyc3p(e),1
383,EX_glycys(e),0
384,EX_glygln(e),0
385,EX_glyglu(e),0
386,EX_glyleu(e),0
387,EX_glymet(e),0
388,EX_glyphe(e),0
389,EX_glypro(e),0
390,EX_glytyr(e),0
391,EX_h(e),1
392,EX_h2o(e),1
393,EX_hg2(e),0
394,EX_his_L(e),1
395,EX_hxan(e),1
396,EX_ile_L(e),1
397,EX_k(e),1
398,EX_kesto(e),0
399,EX_kestopt(e),1
400,EX_kestottr(e),0
401,EX_lac_D(e),0
402,EX_lac_L(e),1
403,EX_lcts(e),1
404,EX_leu_L(e),1
405,EX_lys_L(e),1
406,EX_malt(e),1
407,EX_man(e),1
408,EX_mantr(e),0
409,EX_melib(e),1
410,EX_met_D(e),0
411,EX_met_L(e),1
412,EX_metala(e),0
413,EX_metsox_R_L(e),0
414,EX_metsox_S_L(e),1
415,EX_mg2(e),1
416,EX_mn2(e),1
417,EX_na1(e),1
418,EX_nac(e),1
419,EX_nh4(e),0
420,EX_o2(e),0
421,EX_pb(e),0
422,EX_phe_L(e),1
423,EX_pi(e),1
424,EX_pnto_R(e),1
425,EX_pppn(e),0
426,EX_pro_L(e),1
427,EX_ptrc(e),1
428,EX_pydx(e),1
429,EX_pyr(e),0
430,EX_raffin(e),1
431,EX_ribflv(e),1
432,EX_salcn(e),0
433,EX_ser_L(e),1
434,EX_so4(e),1
435,EX_spmd(e),1
436,EX_stys(e),0
437,EX_succ(e),1
438,EX_sucr(e),1
439,EX_thr_L(e),1
440,EX_tre(e),1
441,EX_tyr_L(e),1
442,EX_ura(e),1
443,EX_urea(e),0
444,EX_val_L(e),1
445,EX_xan(e),1
446,EX_zn2(e),1
