ReacID,ReacName,SecretionSense,vmax,ks,inhibited
573,EX_4hbz(e),1,0.86,0.01,0
576,EX_ac(e),1,0.86,0.01,0
578,EX_acald(e),1,0.86,0.01,0
580,EX_acgam(e),1,0.86,0.01,0
581,EX_acnam(e),1,0.86,0.01,0
582,EX_adn(e),1,0.86,0.01,0
583,EX_adpcbl(e),1,0.86,0.01,0
584,EX_akg(e),1,0.86,0.01,0
585,EX_ala_D(e),1,0.86,0.01,0
586,EX_ala_L(e),1,0.86,0.01,0
595,EX_arab_L(e),1,0.15375338,0.01,0
597,EX_arg_L(e),1,0.129,0.01,0
598,EX_asn_L(e),1,0.1935,0.01,0
601,EX_asp_L(e),1,0.1935,0.01,0
603,EX_btn(e),1,0.86,0.01,0
606,EX_ca2(e),1,0.86,0.01,0
607,EX_cbl1(e),1,0.86,0.01,0
610,EX_cgly(e),1,0.86,0.01,0
611,EX_chol(e),1,0.86,0.01,0
613,EX_cit(e),1,0.86,0.01,0
614,EX_cl(e),1,0.86,0.01,0
616,EX_cobalt2(e),1,0.86,0.01,0
618,EX_csn(e),1,0.86,0.01,0
620,EX_cu2(e),1,0.86,0.01,0
622,EX_cys_L(e),1,0.86,0.01,0
623,EX_cytd(e),1,0.86,0.01,0
624,EX_dad_2(e),1,0.86,0.01,0
625,EX_dcyt(e),1,0.86,0.01,0
626,EX_ddca(e),1,0.86,0.01,0
627,EX_dgsn(e),1,0.86,0.01,0
633,EX_drib(e),1,0.15375338,0.01,0
637,EX_etoh(e),1,0.86,0.01,0
638,EX_fe2(e),1,0.86,0.01,0
639,EX_fe3(e),1,0.86,0.01,0
641,EX_for(e),1,0.86,0.01,0
642,EX_fru(e),1,0.12812796,0.01,0
644,EX_fuc_L(e),1,0.12812796,0.01,0
645,EX_fum(e),1,0.86,0.01,0
647,EX_gal(e),1,0.12812796,0.01,0
654,EX_glc(e),1,0.12812796,0.01,0
655,EX_glcn(e),1,0.12812796,0.01,0
658,EX_gln_L(e),1,0.1548,0.01,0
659,EX_glu_L(e),1,0.1548,0.01,0
660,EX_gly(e),1,0.387,0.01,0
664,EX_glyc(e),1,1.5477033,0.01,0
665,EX_glyc3p(e),1,0.86,0.01,0
675,EX_gsn(e),1,0.86,0.01,0
676,EX_h(e),1,0.86,0.01,0
677,EX_h2(e),1,0.86,0.01,0
678,EX_h2o(e),1,8.6,0.01,0
679,EX_h2s(e),1,0.86,0.01,0
680,EX_hdca(e),1,0.34087906,0.01,0
683,EX_his_L(e),1,0.129,0.01,0
684,EX_hxan(e),1,0.86,0.01,0
686,EX_ile_L(e),1,0.129,0.01,0
687,EX_indole(e),1,0.86,0.01,0
688,EX_ins(e),1,0.86,0.01,0
690,EX_k(e),1,0.86,0.01,0
692,EX_lac_L(e),1,0.86,0.01,0
693,EX_lcts(e),1,0.06406398,0.01,0
694,EX_leu_L(e),1,0.129,0.01,0
695,EX_lys_L(e),1,0.129,0.01,0
696,EX_mal_L(e),1,0.86,0.01,0
697,EX_malt(e),1,0.06406398,0.01,0
700,EX_man(e),1,0.12812796,0.01,0
703,EX_melib(e),1,0.06406398,0.01,0
705,EX_met_L(e),1,0.1548,0.01,0
708,EX_metsox_S_L(e),1,0.86,0.01,0
709,EX_mg2(e),1,0.86,0.01,0
710,EX_mn2(e),1,0.86,0.01,0
711,EX_mnl(e),1,0.12812796,0.01,0
714,EX_na1(e),1,0.86,0.01,0
715,EX_nac(e),1,0.86,0.01,0
717,EX_nmn(e),1,0.86,0.01,0
718,EX_no2(e),1,0.86,0.01,0
719,EX_no3(e),1,0.86,0.01,0
721,EX_ocdca(e),1,0.14558338,0.01,0
722,EX_orn(e),1,0.86,0.01,0
725,EX_phe_L(e),1,0.86,0.01,0
726,EX_pi(e),1,0.86,0.01,0
727,EX_pnto_R(e),1,0.86,0.01,0
731,EX_pro_L(e),1,0.1548,0.01,0
732,EX_ptrc(e),1,0.86,0.01,0
733,EX_pydam(e),1,0.86,0.01,0
734,EX_pydx(e),1,0.86,0.01,0
735,EX_pydxn(e),1,0.86,0.01,0
736,EX_rib_D(e),1,0.15375338,0.01,0
737,EX_rmn(e),1,0.12812796,0.01,0
740,EX_sel(e),1,0.86,0.01,0
743,EX_ser_L(e),1,0.86,0.01,0
744,EX_so4(e),1,0.86,0.01,0
745,EX_spmd(e),1,0.86,0.01,0
746,EX_succ(e),1,0.86,0.01,0
747,EX_sucr(e),1,0.06406398,0.01,0
750,EX_thm(e),1,0.86,0.01,0
751,EX_thr_L(e),1,0.1935,0.01,0
752,EX_thymd(e),1,0.86,0.01,0
755,EX_tre(e),1,0.06406398,0.01,0
756,EX_trp_L(e),1,0.0703652,0.01,0
758,EX_ttdca(e),1,0.05906136,0.01,0
760,EX_tyr_L(e),1,0.86,0.01,0
761,EX_ura(e),1,0.86,0.01,0
763,EX_uri(e),1,0.86,0.01,0
764,EX_val_L(e),1,0.1548,0.01,0
765,EX_xan(e),1,0.86,0.01,0
767,EX_xyl_D(e),1,0.15375338,0.01,0
768,EX_zn2(e),1,0.86,0.01,0
