ReacID,ReacName,SecretionSense
568,EX_12ppd_S(e),0
569,EX_15dap(e),0
570,EX_2ddglcn(e),0
571,EX_3hpppn(e),0
572,EX_4abut(e),0
573,EX_4hbz(e),1
574,EX_4hoxpacd(e),0
575,EX_Lcyst(e),0
576,EX_ac(e),1
577,EX_acac(e),0
578,EX_acald(e),1
579,EX_acgal(e),0
580,EX_acgam(e),1
581,EX_acnam(e),1
582,EX_adn(e),1
583,EX_adpcbl(e),1
584,EX_akg(e),1
585,EX_ala_D(e),1
586,EX_ala_L(e),1
587,EX_alaasp(e),0
588,EX_alagln(e),0
589,EX_alaglu(e),0
590,EX_alagly(e),0
591,EX_alahis(e),0
592,EX_alaleu(e),0
593,EX_alathr(e),0
594,EX_alltn(e),0
595,EX_arab_L(e),1
596,EX_arbt(e),0
597,EX_arg_L(e),1
598,EX_asn_L(e),1
599,EX_aso3(e),0
600,EX_aso4(e),0
601,EX_asp_L(e),1
602,EX_biomass(e),0
603,EX_btn(e),1
604,EX_but(e),0
605,EX_butso3(e),0
606,EX_ca2(e),1
607,EX_cbl1(e),1
608,EX_cbl2(e),0
609,EX_cd2(e),0
610,EX_cgly(e),1
611,EX_chol(e),1
612,EX_cinnm(e),0
613,EX_cit(e),1
614,EX_cl(e),1
615,EX_co2(e),0
616,EX_cobalt2(e),1
617,EX_crn(e),0
618,EX_csn(e),1
619,EX_ctbt(e),0
620,EX_cu2(e),1
621,EX_cynt(e),0
622,EX_cys_L(e),1
623,EX_cytd(e),1
624,EX_dad_2(e),1
625,EX_dcyt(e),1
626,EX_ddca(e),1
627,EX_dgsn(e),1
628,EX_dhcinnm(e),0
629,EX_dhpppn(e),0
630,EX_din(e),0
631,EX_dms(e),0
632,EX_dmso(e),0
633,EX_drib(e),1
634,EX_duri(e),0
635,EX_etha(e),0
636,EX_ethso3(e),0
637,EX_etoh(e),1
638,EX_fe2(e),1
639,EX_fe3(e),1
640,EX_fecrm(e),0
641,EX_for(e),1
642,EX_fru(e),1
643,EX_fuc1p_L(e),0
644,EX_fuc_L(e),1
645,EX_fum(e),1
646,EX_g6p(e),0
647,EX_gal(e),1
648,EX_galct_D(e),0
649,EX_galctn_D(e),0
650,EX_galt(e),0
651,EX_galur(e),0
652,EX_gbbtn(e),0
653,EX_gcald(e),0
654,EX_glc(e),1
655,EX_glcn(e),1
656,EX_glcr(e),0
657,EX_glcur(e),0
658,EX_gln_L(e),1
659,EX_glu_L(e),1
660,EX_gly(e),1
661,EX_glyasn(e),0
662,EX_glyasp(e),0
663,EX_glyb(e),0
664,EX_glyc(e),1
665,EX_glyc3p(e),1
666,EX_glyclt(e),0
667,EX_glycys(e),0
668,EX_glygln(e),0
669,EX_glyglu(e),0
670,EX_glyleu(e),0
671,EX_glymet(e),0
672,EX_glyphe(e),0
673,EX_glypro(e),0
674,EX_glytyr(e),0
675,EX_gsn(e),1
676,EX_h(e),1
677,EX_h2(e),1
678,EX_h2o(e),1
679,EX_h2s(e),1
680,EX_hdca(e),1
681,EX_hexs(e),0
682,EX_hg2(e),0
683,EX_his_L(e),1
684,EX_hxan(e),1
685,EX_idon_L(e),0
686,EX_ile_L(e),1
687,EX_indole(e),1
688,EX_ins(e),1
689,EX_isetac(e),0
690,EX_k(e),1
691,EX_lac_D(e),0
692,EX_lac_L(e),1
693,EX_lcts(e),1
694,EX_leu_L(e),1
695,EX_lys_L(e),1
696,EX_mal_L(e),1
697,EX_malt(e),1
698,EX_malthx(e),0
699,EX_malttr(e),0
700,EX_man(e),1
701,EX_man6p(e),0
702,EX_mantr(e),0
703,EX_melib(e),1
704,EX_met_D(e),0
705,EX_met_L(e),1
706,EX_metala(e),0
707,EX_metsox_R_L(e),0
708,EX_metsox_S_L(e),1
709,EX_mg2(e),1
710,EX_mn2(e),1
711,EX_mnl(e),1
712,EX_mops(e),0
713,EX_mso3(e),0
714,EX_na1(e),1
715,EX_nac(e),1
716,EX_nh4(e),0
717,EX_nmn(e),1
718,EX_no2(e),1
719,EX_no3(e),1
720,EX_o2(e),0
721,EX_ocdca(e),1
722,EX_orn(e),1
723,EX_pac(e),0
724,EX_pb(e),0
725,EX_phe_L(e),1
726,EX_pi(e),1
727,EX_pnto_R(e),1
728,EX_ppa(e),0
729,EX_ppi(e),0
730,EX_pppn(e),0
731,EX_pro_L(e),1
732,EX_ptrc(e),1
733,EX_pydam(e),1
734,EX_pydx(e),1
735,EX_pydxn(e),1
736,EX_rib_D(e),1
737,EX_rmn(e),1
738,EX_salcn(e),0
739,EX_sbt-d(e),0
740,EX_sel(e),1
741,EX_selni(e),0
742,EX_ser_D(e),0
743,EX_ser_L(e),1
744,EX_so4(e),1
745,EX_spmd(e),1
746,EX_succ(e),1
747,EX_sucr(e),1
748,EX_sulfac(e),0
749,EX_taur(e),0
750,EX_thm(e),1
751,EX_thr_L(e),1
752,EX_thymd(e),1
753,EX_tma(e),0
754,EX_tmao(e),0
755,EX_tre(e),1
756,EX_trp_L(e),1
757,EX_tsul(e),0
758,EX_ttdca(e),1
759,EX_tym(e),0
760,EX_tyr_L(e),1
761,EX_ura(e),1
762,EX_urea(e),0
763,EX_uri(e),1
764,EX_val_L(e),1
765,EX_xan(e),1
766,EX_xtsn(e),0
767,EX_xyl_D(e),1
768,EX_zn2(e),1
