ReacID,ReacName,SecretionSense,vmax,ks,inhibited
396,EX_12dgr180(e),1,0.93,0.01,0
400,EX_ac(e),1,0.93,0.01,0
401,EX_acald(e),1,0.93,0.01,0
402,EX_acgam(e),1,0.93,0.01,0
403,EX_akg(e),1,0.93,0.01,0
404,EX_ala_D(e),1,0.93,0.01,0
405,EX_ala_L(e),1,0.93,0.01,0
414,EX_arab_L(e),1,0.16626819,0.01,0
416,EX_asn_L(e),1,0.20925,0.01,0
417,EX_asp_L(e),1,0.20925,0.01,0
419,EX_btn(e),1,0.93,0.01,0
420,EX_ca2(e),1,0.93,0.01,0
422,EX_cellb(e),1,0.06927849,0.01,0
423,EX_cgly(e),1,0.93,0.01,0
424,EX_chol(e),1,0.93,0.01,0
426,EX_cit(e),1,0.93,0.01,0
427,EX_cl(e),1,0.93,0.01,0
429,EX_cobalt2(e),1,0.93,0.01,0
431,EX_csn(e),1,0.93,0.01,0
432,EX_cu2(e),1,0.93,0.01,0
433,EX_cys_L(e),1,0.93,0.01,0
434,EX_ddca(e),1,0.93,0.01,0
436,EX_drib(e),1,0.16626819,0.01,0
437,EX_etoh(e),1,0.93,0.01,0
438,EX_fe2(e),1,0.93,0.01,0
439,EX_fe3(e),1,0.93,0.01,0
440,EX_fol(e),1,0.93,0.01,0
441,EX_for(e),1,0.93,0.01,0
442,EX_fru(e),1,0.13855698,0.01,0
443,EX_gal(e),1,0.13855698,0.01,0
445,EX_gam(e),1,0.93,0.01,0
446,EX_glc(e),1,0.13855698,0.01,0
447,EX_glcn(e),1,0.13855698,0.01,0
448,EX_gln_L(e),1,0.1674,0.01,0
449,EX_glu_L(e),1,0.1674,0.01,0
450,EX_gly(e),1,0.4185,0.01,0
454,EX_glyc(e),1,1.67367915,0.01,0
455,EX_glyc3p(e),1,0.93,0.01,0
464,EX_gua(e),1,0.93,0.01,0
465,EX_h(e),1,0.93,0.01,0
466,EX_h2o(e),1,9.3,0.01,0
467,EX_hdca(e),1,0.36862503,0.01,0
469,EX_his_L(e),1,0.1395,0.01,0
470,EX_hxan(e),1,0.93,0.01,0
471,EX_ile_L(e),1,0.1395,0.01,0
473,EX_k(e),1,0.93,0.01,0
475,EX_kestopt(e),1,0.002623685031,0.01,0
478,EX_lac_L(e),1,0.93,0.01,0
479,EX_lcts(e),1,0.06927849,0.01,0
480,EX_leu_L(e),1,0.1395,0.01,0
481,EX_lys_L(e),1,0.1395,0.01,0
482,EX_mal_L(e),1,0.93,0.01,0
483,EX_malt(e),1,0.06927849,0.01,0
486,EX_man(e),1,0.13855698,0.01,0
488,EX_melib(e),1,0.06927849,0.01,0
490,EX_met_L(e),1,0.1674,0.01,0
493,EX_metsox_S_L(e),1,0.93,0.01,0
494,EX_mg2(e),1,0.93,0.01,0
495,EX_mn2(e),1,0.93,0.01,0
496,EX_mnl(e),1,0.13855698,0.01,0
497,EX_mqn7(e),1,0.93,0.01,0
498,EX_na1(e),1,0.93,0.01,0
499,EX_nac(e),1,0.93,0.01,0
501,EX_nmn(e),1,0.93,0.01,0
502,EX_no2(e),1,0.93,0.01,0
503,EX_no3(e),1,0.93,0.01,0
505,EX_ocdca(e),1,0.15743319,0.01,0
507,EX_phe_L(e),1,0.93,0.01,0
508,EX_pi(e),1,0.93,0.01,0
509,EX_pnto_R(e),1,0.93,0.01,0
510,EX_pro_L(e),1,0.1674,0.01,0
511,EX_ptrc(e),1,0.93,0.01,0
512,EX_pydam(e),1,0.93,0.01,0
513,EX_pydx(e),1,0.93,0.01,0
514,EX_raffin(e),1,0.004372808385,0.01,0
515,EX_rib_D(e),1,0.16626819,0.01,0
516,EX_ribflv(e),1,0.93,0.01,0
520,EX_ser_L(e),1,0.93,0.01,0
521,EX_sheme(e),1,0.93,0.01,0
522,EX_so4(e),1,0.93,0.01,0
523,EX_spmd(e),1,0.93,0.01,0
525,EX_succ(e),1,0.93,0.01,0
526,EX_sucr(e),1,0.06927849,0.01,0
527,EX_thm(e),1,0.93,0.01,0
528,EX_thr_L(e),1,0.20925,0.01,0
529,EX_tre(e),1,0.06927849,0.01,0
530,EX_ttdca(e),1,0.06386868,0.01,0
531,EX_tyr_L(e),1,0.93,0.01,0
532,EX_ura(e),1,0.93,0.01,0
533,EX_val_L(e),1,0.1674,0.01,0
534,EX_xan(e),1,0.93,0.01,0
535,EX_xyl_D(e),1,0.16626819,0.01,0
536,EX_zn2(e),1,0.93,0.01,0
