ReacID,ReacName,SecretionSense
396,EX_12dgr180(e),1
397,EX_13ppd(e),0
398,EX_34dhpha(e),0
399,EX_3hphac(e),0
400,EX_ac(e),1
401,EX_acald(e),1
402,EX_acgam(e),1
403,EX_akg(e),1
404,EX_ala_D(e),1
405,EX_ala_L(e),1
406,EX_alaasp(e),0
407,EX_alagln(e),0
408,EX_alaglu(e),0
409,EX_alagly(e),0
410,EX_alahis(e),0
411,EX_alaleu(e),0
412,EX_alathr(e),0
413,EX_alltn(e),0
414,EX_arab_L(e),1
415,EX_arbt(e),0
416,EX_asn_L(e),1
417,EX_asp_L(e),1
418,EX_biomass(e),0
419,EX_btn(e),1
420,EX_ca2(e),1
421,EX_cd2(e),0
422,EX_cellb(e),1
423,EX_cgly(e),1
424,EX_chol(e),1
425,EX_chols(e),0
426,EX_cit(e),1
427,EX_cl(e),1
428,EX_co2(e),0
429,EX_cobalt2(e),1
430,EX_crn(e),0
431,EX_csn(e),1
432,EX_cu2(e),1
433,EX_cys_L(e),1
434,EX_ddca(e),1
435,EX_dextrin(e),0
436,EX_drib(e),1
437,EX_etoh(e),1
438,EX_fe2(e),1
439,EX_fe3(e),1
440,EX_fol(e),1
441,EX_for(e),1
442,EX_fru(e),1
443,EX_gal(e),1
444,EX_galt(e),0
445,EX_gam(e),1
446,EX_glc(e),1
447,EX_glcn(e),1
448,EX_gln_L(e),1
449,EX_glu_L(e),1
450,EX_gly(e),1
451,EX_glyasn(e),0
452,EX_glyasp(e),0
453,EX_glyb(e),0
454,EX_glyc(e),1
455,EX_glyc3p(e),1
456,EX_glycys(e),0
457,EX_glygln(e),0
458,EX_glyglu(e),0
459,EX_glyleu(e),0
460,EX_glymet(e),0
461,EX_glyphe(e),0
462,EX_glypro(e),0
463,EX_glytyr(e),0
464,EX_gua(e),1
465,EX_h(e),1
466,EX_h2o(e),1
467,EX_hdca(e),1
468,EX_hg2(e),0
469,EX_his_L(e),1
470,EX_hxan(e),1
471,EX_ile_L(e),1
472,EX_ind3ac(e),0
473,EX_k(e),1
474,EX_kesto(e),0
475,EX_kestopt(e),1
476,EX_kestottr(e),0
477,EX_lac_D(e),0
478,EX_lac_L(e),1
479,EX_lcts(e),1
480,EX_leu_L(e),1
481,EX_lys_L(e),1
482,EX_mal_L(e),1
483,EX_malt(e),1
484,EX_malthx(e),0
485,EX_malttr(e),0
486,EX_man(e),1
487,EX_mantr(e),0
488,EX_melib(e),1
489,EX_met_D(e),0
490,EX_met_L(e),1
491,EX_metala(e),0
492,EX_metsox_R_L(e),0
493,EX_metsox_S_L(e),1
494,EX_mg2(e),1
495,EX_mn2(e),1
496,EX_mnl(e),1
497,EX_mqn7(e),1
498,EX_na1(e),1
499,EX_nac(e),1
500,EX_nh4(e),0
501,EX_nmn(e),1
502,EX_no2(e),1
503,EX_no3(e),1
504,EX_o2(e),0
505,EX_ocdca(e),1
506,EX_pb(e),0
507,EX_phe_L(e),1
508,EX_pi(e),1
509,EX_pnto_R(e),1
510,EX_pro_L(e),1
511,EX_ptrc(e),1
512,EX_pydam(e),1
513,EX_pydx(e),1
514,EX_raffin(e),1
515,EX_rib_D(e),1
516,EX_ribflv(e),1
517,EX_salcn(e),0
518,EX_sbt-d(e),0
519,EX_ser_D(e),0
520,EX_ser_L(e),1
521,EX_sheme(e),1
522,EX_so4(e),1
523,EX_spmd(e),1
524,EX_stys(e),0
525,EX_succ(e),1
526,EX_sucr(e),1
527,EX_thm(e),1
528,EX_thr_L(e),1
529,EX_tre(e),1
530,EX_ttdca(e),1
531,EX_tyr_L(e),1
532,EX_ura(e),1
533,EX_val_L(e),1
534,EX_xan(e),1
535,EX_xyl_D(e),1
536,EX_zn2(e),1
